date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,nifty_range,nifty_pct_chg,vix_range,vix_pct_chg,nifty_direction,vix_regime
2025-08-05,24720.25,24733.1,24590.3,24649.5,11.97,12.18,11.64,11.66,142.79999999999927,-0.2862026071742796,0.5399999999999991,-2.589807852965753,DOWN,Low
2025-08-06,24641.35,24671.4,24539.2,24569.6,11.71,12.05,10.66,12.01,132.20000000000073,-0.2911772285203562,1.3900000000000006,2.561912894961571,DOWN,Normal
2025-08-07,24464.2,24634.2,24344.15,24626.65,11.96,12.31,11.56,11.57,290.0499999999993,0.6640315236140948,0.75,-3.2608695652173947,UP,Low
2025-08-08,24544.25,24585.5,24337.5,24350.85,11.69,12.2,10.9,12.12,248.0,-0.7879645945588098,1.299999999999999,3.678357570573132,DOWN,Normal
2025-08-11,24371.5,24600.85,24347.45,24562.15,12.03,12.73,12.03,12.22,253.39999999999782,0.7822661715528367,0.7000000000000011,1.5793848711554537,UP,Normal
2025-08-12,24563.35,24702.6,24465.65,24485.85,12.22,12.42,11.6,12.22,236.9499999999971,-0.3155107100619392,0.8200000000000003,0.0,DOWN,Normal
2025-08-13,24586.2,24664.55,24535.25,24630.4,12.23,12.35,10.78,12.08,129.29999999999927,0.1797756465008904,1.5700000000000003,-1.22649223221587,UP,Normal
2025-08-14,24607.25,24673.65,24596.9,24616.05,12.14,12.47,11.47,12.33,76.75,0.0357618181633379,1.0,1.565074135090616,FLAT,Normal
2025-08-18,24938.2,25022.0,24852.85,24884.05,12.36,13.47,11.75,12.29,169.15000000000146,-0.21713676207585353,1.7200000000000006,-0.5663430420712046,DOWN,Normal
2025-08-19,24891.35,25012.65,24873.95,24989.7,12.34,12.34,11.76,11.79,138.70000000000073,0.39511717926108414,0.5800000000000001,-4.457050243111837,UP,Low
2025-08-20,24965.8,25088.7,24929.7,25047.15,11.79,11.99,10.19,11.81,159.0,0.3258457569955686,1.8000000000000007,0.16963528413911355,UP,Low
2025-08-21,25142.0,25153.65,25054.9,25076.95,11.79,11.89,10.09,11.4,98.75,-0.25873041126401874,1.8000000000000007,-3.307888040712459,DOWN,Low
2025-08-22,25064.15,25084.85,24859.15,24869.45,11.37,11.79,10.7,11.72,225.6999999999971,-0.7768067139719559,1.0899999999999999,3.0782761653474155,DOWN,Low
2025-08-25,24949.15,25021.55,24894.35,24978.55,11.73,12.35,11.55,11.71,127.20000000000073,0.11783968592116167,0.7999999999999989,-0.17050298380221207,UP,Low
2025-08-26,24899.5,24919.65,24689.6,24710.7,11.76,12.55,10.93,12.16,230.0500000000029,-0.7582481575935218,1.620000000000001,3.401360544217691,DOWN,Normal
2025-08-28,24695.8,24702.65,24481.6,24533.1,12.19,13.15,11.58,12.15,221.0500000000029,-0.6588164789154471,1.5700000000000003,-0.3281378178835004,DOWN,Normal
2025-08-29,24466.7,24572.45,24404.7,24433.65,12.18,12.2,11.59,11.63,167.75,-0.13508155983438241,0.6099999999999994,-4.515599343185539,DOWN,Low
2025-09-01,24432.7,24635.6,24432.7,24624.3,11.75,12.2,11.24,11.32,202.89999999999782,0.7841949518473168,0.9599999999999991,-3.659574468085103,UP,Low
2025-09-02,24653.0,24756.1,24522.35,24575.0,11.29,11.78,10.78,11.38,233.75,-0.31639151421734013,1.0,0.7971656333038313,DOWN,Low
2025-09-03,24616.5,24737.05,24533.2,24713.6,11.4,11.58,10.85,10.94,203.84999999999854,0.39445087644465193,0.7300000000000004,-4.035087719298258,UP,Low
2025-09-04,24980.75,24980.75,24708.2,24739.8,10.93,11.24,10.49,10.8,272.5499999999993,-0.9645426978773686,0.75,-1.1893870082342106,DOWN,Low
2025-09-05,24818.85,24832.35,24621.6,24743.95,10.85,11.44,9.95,10.74,210.75,-0.3017867467670632,1.4900000000000002,-1.0138248847926246,DOWN,Low
2025-09-08,24802.6,24885.5,24751.55,24791.2,10.78,11.08,10.42,10.79,133.95000000000073,-0.04596292324190454,0.6600000000000001,0.09276437847867136,FLAT,Low
2025-09-09,24864.1,24891.8,24814.0,24878.8,10.84,11.45,9.85,10.64,77.79999999999927,0.05912138384256416,1.5999999999999996,-1.845018450184499,FLAT,Low
2025-09-10,24991.0,25035.7,24915.05,24977.55,10.69,10.84,10.25,10.6,120.65000000000146,-0.053819374974994894,0.5899999999999999,-0.8419083255378879,FLAT,Low
2025-09-11,24945.5,25037.3,24940.15,25008.1,10.54,10.78,10.18,10.23,97.14999999999782,0.25094706460082605,0.5999999999999996,-2.941176470588225,UP,Low
2025-09-12,25074.45,25139.45,25038.05,25107.7,10.36,10.36,9.85,10.16,101.40000000000146,0.13260510200623354,0.5099999999999998,-1.9305019305019266,UP,Low
2025-09-15,25118.9,25138.45,25048.75,25069.7,10.12,10.68,9.9,10.41,89.70000000000073,-0.19586844965344685,0.7799999999999994,2.8656126482213606,DOWN,Low
2025-09-16,25073.6,25261.4,25070.45,25254.45,10.4,10.5,9.76,10.3,190.95000000000073,0.7212765618020534,0.7400000000000002,-0.9615384615384581,UP,Low
2025-09-17,25276.6,25346.5,25275.35,25330.15,10.27,10.36,9.62,10.2,71.15000000000146,0.21185602494007139,0.7400000000000002,-0.6815968841285325,UP,Low
2025-09-18,25441.05,25448.95,25329.75,25420.75,10.25,10.25,9.49,9.88,119.20000000000073,-0.07979230416983452,0.7599999999999998,-3.6097560975609677,FLAT,Low
2025-09-19,25410.2,25428.75,25286.3,25352.5,9.89,10.26,9.4,9.93,142.45000000000073,-0.2270741670667764,0.8599999999999994,0.4044489383215222,DOWN,Low
2025-09-22,25238.1,25331.7,25151.05,25200.2,9.97,10.73,9.97,10.55,180.65000000000146,-0.15016978298681982,0.7599999999999998,5.817452357071207,DOWN,Low
2025-09-23,25209.0,25261.9,25084.65,25185.8,10.56,10.9,9.96,10.57,177.25,-0.0920306239834967,0.9399999999999995,0.09469696969697239,FLAT,Low
2025-09-24,25108.75,25149.85,25027.45,25060.9,10.63,10.89,10.11,10.49,122.39999999999782,-0.19057101608004334,0.7800000000000011,-1.3170272812794037,DOWN,Low
