sl_pct,tp_pct,time_stop_min,trades,win_rate,winners,losers,net_pnl,avg_win,avg_loss,profit_factor,max_dd,return_over_dd
0.15,0.35,60,98,33.6734693877551,33,65,-32687.466187499915,1549.9871306818195,-1289.8006384615376,0.6101071125285363,37550.93024999993,-0.8704835265033141
0.15,0.35,90,98,35.714285714285715,35,63,-21477.673687499915,1715.5657500000011,-1294.0075386904755,0.7365429140373131,29689.069312499938,-0.7234202413498091
0.15,0.35,120,98,34.69387755102041,34,64,-18791.763374999922,1993.6216544117658,-1352.7328066406244,0.7829421292268702,27690.714937499964,-0.6786304874184127
0.15,0.4,30,98,33.6734693877551,33,65,-35727.422437499925,1257.4837500000008,-1188.0674798076916,0.5373556955084868,36808.26618749995,-0.9706358418379654
0.15,0.4,45,98,32.6530612244898,32,66,-31628.837437499933,1484.1065625000006,-1198.7916278409084,0.6002434463759135,32816.368687499955,-0.9638128379983626
0.15,0.4,60,98,32.6530612244898,32,66,-37393.118999999926,1472.510273437501,-1280.5067840909085,0.5575482956202086,40450.33931249994,-0.9244204037726014
0.15,0.4,90,98,33.6734693877551,33,65,-24193.688062499936,1778.14840909091,-1274.9628548076917,0.7080616237772165,31260.438374999947,-0.7739395005365141
0.15,0.4,120,98,33.6734693877551,33,65,-15559.362749999946,2191.737613636364,-1352.1031384615378,0.8229611301613956,25454.703374999975,-0.6112568872156405
0.15,0.5,30,98,32.6530612244898,32,66,-37749.750562499925,1252.163085937501,-1179.0752926136358,0.5149029742233269,38830.59431249993,-0.9721651504661087
0.15,0.5,45,98,31.63265306122449,31,67,-35288.97431249992,1433.092137096775,-1189.773590485074,0.557309799650997,36476.505562499944,-0.9674439414717161
0.15,0.5,60,98,31.63265306122449,31,67,-39691.00087499992,1465.0654838709688,-1270.269117537313,0.5336397697498726,42871.59243749994,-0.9258112101355501
0.15,0.5,90,98,32.6530612244898,32,66,-26121.45618749993,1792.053515625001,-1264.6540710227266,0.6870451388461691,32829.91274999994,-0.7956602378573175
0.15,0.5,120,98,32.6530612244898,32,66,-15854.493374999933,2269.587304687501,-1340.6255624999997,0.8208152945085229,22476.316499999975,-0.7053866399772378
0.15,0.6,30,98,32.6530612244898,32,66,-36007.77806249992,1306.599726562501,-1179.0752926136358,0.5372879083260225,37088.62181249993,-0.9708578076730872
0.15,0.6,45,98,31.63265306122449,31,67,-33320.94431249992,1496.5769758064523,-1189.773590485074,0.581998179292687,34508.47556249994,-0.9655872584736691
0.15,0.6,60,98,31.63265306122449,31,67,-38232.708374999915,1512.107177419356,-1270.269117537313,0.5507743748512623,40903.56243749994,-0.9347036320716307
0.15,0.6,90,98,32.6530612244898,32,66,-24096.542437499924,1855.3320703125012,-1264.6540710227266,0.7113051416932917,30804.998999999934,-0.7822283142258818
0.15,0.6,120,98,31.63265306122449,31,67,-15872.223374999929,2364.9772983870976,-1331.1420839552234,0.8220333808098194,22674.36712499997,-0.7000073381320427
0.2,0.2,30,98,37.755102040816325,37,61,-37853.80349999993,987.7219256756763,-1219.6641762295073,0.4912090001232172,37316.78474999995,-1.014390809754851
0.2,0.2,45,98,37.755102040816325,37,61,-34008.60974999992,1082.963412162163,-1214.3976393442615,0.540909686777724,34911.72224999994,-0.9741315397294666
0.2,0.2,60,98,39.795918367346935,39,59,-39656.20574999993,1053.81076923077,-1368.725860169491,0.5089308238647279,41073.180749999956,-0.9655012109087746
0.2,0.2,90,98,39.795918367346935,39,59,-37025.51699999993,1194.1943269230776,-1416.9338262711854,0.5571062501594111,42563.23949999992,-0.86989424289474
0.2,0.2,120,98,41.83673469387755,41,57,-39617.05199999993,1278.783567073171,-1614.8627763157886,0.569600581427927,44800.174499999936,-0.8843057519787113
0.2,0.25,30,98,34.69387755102041,34,64,-39236.374124999915,1077.6697610294125,-1185.5804062499992,0.48289602082555994,39189.70068749994,-1.0011909618262245
