entry_time,exit_time,direction,entry_price,exit_price,exit_reason,points,pnl_pct,score,pillars_fired
2025-06-24 09:55:00+05:30,2025-06-24 11:05:00+05:30,short,25193.0,25268.578999999998,sl,-75.5789999999979,-0.29999999999999166,4.0,"['fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-25 09:30:00+05:30,2025-06-25 13:25:00+05:30,short,25179.4,25254.9382,sl,-75.53819999999905,-0.2999999999999962,4.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-25 12:15:00+05:30,2025-06-25 13:25:00+05:30,short,25182.65,25258.197949999998,sl,-75.54794999999649,-0.29999999999998606,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-26 14:20:00+05:30,2025-06-26 15:25:00+05:30,long,25512.55,25530.4,eod,17.850000000002183,0.06996556596656228,4.0,"['fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-30 13:00:00+05:30,2025-06-30 15:25:00+05:30,long,25512.05,25507.45,eod,-4.599999999998545,-0.01803069529888247,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-01 09:50:00+05:30,2025-07-01 15:25:00+05:30,long,25560.7,25533.0,eod,-27.700000000000728,-0.10836948909850172,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-02 12:15:00+05:30,2025-07-02 13:25:00+05:30,long,25492.05,25415.57385,sl,-76.4761499999986,-0.2999999999999945,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-02 13:25:00+05:30,2025-07-02 15:25:00+05:30,short,25405.35,25442.85,eod,-37.5,-0.1476067048869628,4.0,"['approach_volume_match', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-03 12:40:00+05:30,2025-07-03 14:30:00+05:30,short,25518.4,25441.844800000003,tp,76.55519999999888,0.2999999999999956,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-03 13:45:00+05:30,2025-07-03 14:30:00+05:30,long,25512.5,25435.9625,sl,-76.53749999999854,-0.29999999999999427,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
