date,weekday,day_open,day_high,day_low,day_close,prev_close,prev_high,prev_low,pivot_PP,pivot_R1,pivot_S1,pivot_R2,pivot_S2,pivot_R3,pivot_S3,cam_R1,cam_S1,cam_R2,cam_S2,cam_R3,cam_S3,cam_R4,cam_S4,or15_high,or15_low,or30_high,or30_low
2025-11-24,Monday,26122.8,26142.8,25912.15,25943.35,26063.95,26179.2,26052.2,26098.45,26144.7,26017.7,26225.45,25971.45,26271.7,25890.7,26075.59,26052.31,26087.23,26040.67,26098.88,26029.03,26133.8,25994.1,26137.55,26082.3,26137.55,26069.0
2025-11-25,Tuesday,25998.5,26032.6,25857.5,25860.3,25943.35,26142.8,25912.15,25999.43,26086.72,25856.07,26230.08,25768.78,26317.37,25625.42,25964.49,25922.21,25985.64,25901.06,26006.78,25879.92,26070.21,25816.49,26005.45,25924.15,26005.45,25924.15
2025-11-26,Wednesday,25842.95,26215.15,25842.95,26203.5,25860.3,26032.6,25857.5,25916.8,25976.1,25801.0,26091.9,25741.7,26151.2,25625.9,25876.35,25844.25,25892.4,25828.2,25908.45,25812.15,25956.6,25763.99,25991.75,25842.95,26042.4,25842.95
2025-11-27,Thursday,26261.25,26310.45,26141.9,26219.85,26203.5,26215.15,25842.95,26087.2,26331.45,25959.25,26459.4,25715.0,26703.65,25587.05,26237.62,26169.38,26271.74,26135.26,26305.85,26101.15,26408.21,25998.79,26295.55,26208.9,26295.55,26208.9
2025-11-28,Friday,26237.45,26280.75,26172.4,26204.55,26219.85,26310.45,26141.9,26224.07,26306.23,26137.68,26392.62,26055.52,26474.78,25969.13,26235.3,26204.4,26250.75,26188.95,26266.2,26173.5,26312.55,26127.15,26251.75,26172.4,26256.15,26172.4
2025-12-01,Monday,26325.8,26325.8,26124.2,26175.95,26204.55,26280.75,26172.4,26219.23,26266.07,26157.72,26327.58,26110.88,26374.42,26049.37,26214.48,26194.62,26224.41,26184.69,26234.35,26174.75,26264.14,26144.96,26325.8,26270.35,26325.8,26270.35
2025-12-02,Tuesday,26087.95,26154.6,25997.85,26057.0,26175.95,26325.8,26124.2,26208.65,26293.1,26091.5,26410.25,26007.05,26494.7,25889.9,26194.43,26157.47,26212.91,26138.99,26231.39,26120.51,26286.83,26065.07,26154.6,26077.45,26154.6,26077.1
2025-12-03,Wednesday,26004.9,26066.45,25891.0,25985.1,26057.0,26154.6,25997.85,26069.82,26141.78,25985.03,26226.57,25913.07,26298.53,25828.28,26071.37,26042.63,26085.74,26028.26,26100.11,26013.89,26143.21,25970.79,26066.45,25954.35,26066.45,25921.85
2025-12-04,Thursday,25981.85,26098.25,25938.95,26017.1,25985.1,26066.45,25891.0,25980.85,26070.7,25895.25,26156.3,25805.4,26246.15,25719.8,26001.18,25969.02,26017.27,25952.93,26033.35,25936.85,26081.6,25888.6,25999.0,25938.95,26029.95,25938.95
2025-12-05,Friday,25999.8,26202.6,25985.35,26176.65,26017.1,26098.25,25938.95,26018.1,26097.25,25937.95,26177.4,25858.8,26256.55,25778.65,26031.7,26002.5,26046.3,25987.9,26060.91,25973.29,26104.71,25929.49,26061.95,25985.35,26061.95,25985.35
2025-12-08,Monday,26159.8,26178.7,25892.25,25932.8,26176.65,26202.6,25985.35,26121.53,26257.72,26040.47,26338.78,25904.28,26474.97,25823.22,26196.56,26156.74,26216.48,26136.82,26236.39,26116.91,26296.14,26057.16,26178.7,26127.25,26178.7,26111.95
2025-12-09,Tuesday,25867.1,25923.65,25728.0,25841.75,25932.8,26178.7,25892.25,26001.25,26110.25,25823.8,26287.7,25714.8,26396.7,25537.35,25959.06,25906.54,25985.32,25880.28,26011.57,25854.03,26090.35,25775.25,25890.95,25774.8,25890.95,25753.75
2025-12-10,Wednesday,25864.05,25947.65,25734.55,25742.65,25841.75,25923.65,25728.0,25831.13,25934.27,25738.62,26026.78,25635.48,26129.92,25542.97,25859.68,25823.82,25877.62,25805.88,25895.55,25787.95,25949.36,25734.14,25899.45,25832.65,25918.9,25832.65
2025-12-11,Thursday,25771.4,25922.8,25693.25,25898.4,25742.65,25947.65,25734.55,25808.28,25882.02,25668.92,26021.38,25595.18,26095.12,25455.82,25762.18,25723.12,25781.72,25703.58,25801.25,25684.05,25859.86,25625.44,25803.05,25727.15,25803.05,25693.25
2025-12-12,Friday,25971.2,26057.6,25938.45,26043.0,25898.4,25922.8,25693.25,25838.15,25983.05,25753.5,26067.7,25608.6,26212.6,25523.95,25919.44,25877.36,25940.48,25856.32,25961.53,25835.27,26024.65,25772.15,26021.7,25963.1,26038.4,25963.1
2025-12-15,Monday,25930.05,26047.15,25904.75,26014.0,26043.0,26057.6,25938.45,26013.02,26087.58,25968.43,26132.17,25893.87,26206.73,25849.28,26053.92,26032.08,26064.84,26021.16,26075.77,26010.23,26108.53,25977.47,26007.2,25910.25,26007.2,25904.75
2025-12-16,Tuesday,25951.5,25980.75,25834.35,25851.35,26014.0,26047.15,25904.75,25988.63,26072.52,25930.12,26131.03,25846.23,26214.92,25787.72,26027.05,26000.95,26040.11,25987.89,26053.16,25974.84,26092.32,25935.68,25980.75,25912.9,25980.75,25901.65
2025-12-17,Wednesday,25902.4,25929.15,25770.35,25821.8,25851.35,25980.75,25834.35,25888.82,25943.28,25796.88,26035.22,25742.42,26089.68,25650.48,25864.77,25837.93,25878.19,25824.51,25891.61,25811.09,25931.87,25770.83,25924.9,25855.65,25929.15,25855.65
2025-12-18,Thursday,25764.7,25902.35,25726.3,25815.65,25821.8,25929.15,25770.35,25840.43,25910.52,25751.72,25999.23,25681.63,26069.32,25592.92,25836.36,25807.24,25850.91,25792.69,25865.47,25778.13,25909.14,25734.46,25827.15,25762.45,25827.15,25737.0
2025-12-19,Friday,25911.5,25993.35,25880.45,25961.4,25815.65,25902.35,25726.3,25814.77,25903.23,25727.18,25990.82,25638.72,26079.28,25551.13,25831.79,25799.51,25847.93,25783.37,25864.06,25767.24,25912.48,25718.82,25968.3,25880.45,25969.45,25880.45
2025-12-22,Monday,26055.85,26180.7,26047.8,26162.75,25961.4,25993.35,25880.45,25945.07,26009.68,25896.78,26057.97,25832.17,26122.58,25783.88,25971.75,25951.05,25982.1,25940.7,25992.45,25930.35,26023.49,25899.31,26135.3,26047.8,26137.75,26047.8
2025-12-23,Tuesday,26205.2,26233.55,26119.05,26165.95,26162.75,26180.7,26047.8,26130.42,26213.03,26080.13,26263.32,25997.52,26345.93,25947.23,26174.93,26150.57,26187.12,26138.38,26199.3,26126.2,26235.85,26089.65,26206.55,26136.8,26206.55,26119.45
2025-12-24,Wednesday,26170.65,26236.4,26123.0,26141.65,26165.95,26233.55,26119.05,26172.85,26226.65,26112.15,26287.35,26058.35,26341.15,25997.65,26176.45,26155.45,26186.94,26144.96,26197.44,26134.46,26228.92,26102.98,26223.25,26141.4,26229.55,26141.4
2025-12-26,Friday,26121.25,26144.2,26008.6,26047.65,26141.65,26236.4,26123.0,26167.02,26211.03,26097.63,26280.42,26053.62,26324.43,25984.23,26152.05,26131.26,26162.44,26120.86,26172.84,26110.47,26204.02,26079.28,26144.2,26095.65,26144.2,26081.7
2025-12-29,Monday,26063.35,26106.8,25920.3,25949.8,26047.65,26144.2,26008.6,26066.82,26125.03,25989.43,26202.42,25931.22,26260.63,25853.83,26060.08,26035.22,26072.51,26022.79,26084.94,26010.36,26122.23,25973.07,26106.8,26044.15,26106.8,26044.15
2025-12-30,Tuesday,25940.9,25976.75,25878.0,25970.55,25949.8,26106.8,25920.3,25992.3,26064.3,25877.8,26178.8,25805.8,26250.8,25691.3,25966.9,25932.7,25983.99,25915.61,26001.09,25898.51,26052.38,25847.22,25956.15,25878.0,25956.15,25878.0
2025-12-31,Wednesday,25971.05,26187.95,25969.0,26141.85,25970.55,25976.75,25878.0,25941.77,26005.53,25906.78,26040.52,25843.02,26104.28,25808.03,25979.6,25961.5,25988.65,25952.45,25997.71,25943.39,26024.86,25916.24,26028.0,25970.75,26028.0,25969.0
