entry_time,exit_time,direction,leg,strike,expiry,dte,entry_premium,exit_premium,exit_reason,lots,pnl_rs,score
2025-08-26 10:10:00+05:30,2025-08-26 11:29:00+05:30,short,PE,24800,2025-08-28,2,71.1,49.769999999999996,sl,4,-5545.799999999999,4.0
2025-08-28 09:30:00+05:30,2025-08-28 10:03:00+05:30,short,PE,24500,2025-09-02,5,93.45,65.41499999999999,sl,3,-5466.825000000003,4.0
2025-08-28 10:05:00+05:30,2025-08-28 14:43:00+05:30,short,PE,24600,2025-09-02,5,101.85,132.405,tp,3,5958.225000000001,4.0
2025-08-28 12:35:00+05:30,2025-08-28 14:47:00+05:30,short,PE,24600,2025-09-02,5,107.1,139.23,tp,2,4176.9,4.0
2025-08-28 13:45:00+05:30,2025-08-28 15:25:00+05:30,short,PE,24550,2025-09-02,5,99.1,111.2,eod,3,2359.500000000002,4.0
2025-08-29 12:15:00+05:30,2025-08-29 13:14:00+05:30,short,PE,24550,2025-09-02,4,79.55,103.415,tp,3,4653.675000000002,4.0
2025-08-29 12:45:00+05:30,2025-08-29 13:14:00+05:30,short,PE,24550,2025-09-02,4,76.05,98.865,tp,4,5931.9,4.0
2025-09-03 11:45:00+05:30,2025-09-03 14:10:00+05:30,short,PE,24600,2025-09-09,6,105.6,73.91999999999999,sl,2,-4118.400000000001,4.0
2025-09-03 13:30:00+05:30,2025-09-03 15:03:00+05:30,short,PE,24600,2025-09-09,6,93.1,65.16999999999999,sl,3,-5446.350000000001,4.0
2025-09-04 09:35:00+05:30,2025-09-04 10:12:00+05:30,long,CE,24900,2025-09-09,5,133.95,93.76499999999999,sl,2,-5224.05,4.0
2025-09-04 10:05:00+05:30,2025-09-04 10:41:00+05:30,long,CE,24850,2025-09-09,5,141.75,99.225,sl,2,-5528.250000000001,4.0
