trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-10-22,24_OCT_24,2,2024-10-22T13:48:00+05:30,support,CE,24500,24606.5,182.55,1,65,,0.0,2024-10-22T14:04:00+05:30,163.65,BREAK_SR,16,-1295.0,-10.41
2024-10-23,24_OCT_24,1,2024-10-23T10:19:00+05:30,resistance,PE,24650,24545.5,154.3,1,65,,0.0,2024-10-23T10:51:00+05:30,151.35,BE_STOP,32,-258.25,-1.98
2024-10-23,24_OCT_24,1,2024-10-23T11:22:00+05:30,resistance,PE,24650,24565.65,134.19,2,130,,0.0,2024-10-23T12:41:00+05:30,133.25,BE_STOP,79,-195.2,-0.77
2024-10-23,24_OCT_24,1,2024-10-23T13:11:00+05:30,resistance,PE,24650,24543.65,149.05,2,130,,0.0,2024-10-23T14:23:00+05:30,240.75,TP,72,11848.0,61.44
2024-10-24,24_OCT_24,0,2024-10-24T10:07:00+05:30,support,CE,24350,24427.2,79.15,3,195,,0.0,2024-10-24T10:36:00+05:30,74.84,BE_STOP,29,-919.95,-5.57
2024-10-25,31_OCT_24,6,2024-10-25T09:45:00+05:30,support,CE,24250,24363.9,230.05,1,65,,0.0,2024-10-25T09:48:00+05:30,211.4,BREAK_SR,3,-1278.75,-8.15
2024-10-28,31_OCT_24,3,2024-10-28T09:46:00+05:30,support,CE,24100,24188.05,202.55,1,65,,0.0,2024-10-28T10:18:00+05:30,313.3,TP,32,7132.25,54.62
2024-10-28,31_OCT_24,3,2024-10-28T11:10:00+05:30,resistance,PE,24450,24364.2,174.4,1,65,,0.0,2024-10-28T11:12:00+05:30,167.65,BREAK_SR,2,-505.25,-3.93
2024-10-29,31_OCT_24,2,2024-10-29T09:45:00+05:30,support,CE,24150,24239.3,186.75,1,65,,0.0,2024-10-29T09:48:00+05:30,163.4,BREAK_SR,3,-1584.25,-12.55
2024-10-29,31_OCT_24,2,2024-10-29T10:27:00+05:30,support,CE,24150,24237.7,188.7,1,65,,0.0,2024-10-29T10:30:00+05:30,170.4,BREAK_SR,3,-1256.0,-9.75
