expiry,entry_ts,direction,atm_strike,entry_spot,entry_premium,qty,lots,exit_ts,exit_premium,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held,ce_oi_above,pe_oi_above,oi_ratio
27_JAN_26,2026-01-27T14:50:00+05:30,PE,25100,25122.3,11.1,1755,27,2026-01-27T14:51:00+05:30,9.15,25132.25,ADVERSE_SPOT,-3597.75,-3657.75,-18.39,1,20043400,7149740,2.8
03_FEB_26,2026-02-03T15:00:00+05:30,PE,25750,25742.25,18.85,1040,16,2026-02-03T15:25:00+05:30,22.9,25719.95,TIME_EXIT,4108.0,4048.0,20.9,25,40625585,18097235,2.24
10_FEB_26,2026-02-10T15:00:00+05:30,PE,25950,25943.0,14.3,1365,21,2026-02-10T15:01:00+05:30,3.2,25964.1,ADVERSE_SPOT,-15288.0,-15348.0,-78.05,1,43400955,10009155,4.34
17_FEB_26,2026-02-17T14:50:00+05:30,PE,25700,25708.05,9.2,2145,33,2026-02-17T14:51:00+05:30,7.0,25711.45,ADVERSE_SPOT,-4933.5,-4993.5,-24.86,1,43825860,12888005,3.4
24_FEB_26,2026-02-24T14:50:00+05:30,PE,25400,25409.7,12.0,1625,25,2026-02-24T14:51:00+05:30,10.3,25416.85,ADVERSE_SPOT,-2925.0,-2985.0,-14.94,1,28590640,8892455,3.22
10_MAR_26,2026-03-10T14:50:00+05:30,PE,24250,24261.45,15.35,1300,20,2026-03-10T14:52:00+05:30,9.25,24273.85,ADVERSE_SPOT,-8060.0,-8120.0,-40.26,2,30784585,9168900,3.36
17_MAR_26,2026-03-17T14:50:00+05:30,PE,23600,23611.85,18.75,1040,16,2026-03-17T14:51:00+05:30,15.6,23611.0,ADVERSE_SPOT,-3380.0,-3440.0,-17.29,1,22491560,3933150,5.72
30_MAR_26,2026-03-30T14:50:00+05:30,PE,22350,22371.7,18.75,1040,16,2026-03-30T14:51:00+05:30,21.0,22365.45,ADVERSE_SPOT,2236.0,2176.0,11.44,1,22202115,14361425,1.55
07_APR_26,2026-04-07T14:50:00+05:30,PE,23050,23056.8,18.05,1105,17,2026-04-07T14:51:00+05:30,18.35,23051.5,ADVERSE_SPOT,221.0,161.0,1.1,1,29204825,6191835,4.72
21_APR_26,2026-04-21T14:50:00+05:30,PE,24550,24558.75,7.15,2795,43,2026-04-21T14:51:00+05:30,8.3,24558.1,ADVERSE_SPOT,2934.75,2874.75,14.58,1,41795975,12250810,3.41
