trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-12-13,19_DEC_24,6,2024-12-13T12:01:00+05:30,resistance,PE,24600,24518.75,219.05,1,65,,2.91,2024-12-13T13:00:00+05:30,143.3,BREAK_SR,59,-4990.25,-34.62
2024-12-17,19_DEC_24,2,2024-12-17T09:46:00+05:30,support,CE,24450,24551.15,216.25,1,65,,0.07,2024-12-17T09:48:00+05:30,200.8,BREAK_SR,2,-1070.75,-7.19
2024-12-18,19_DEC_24,1,2024-12-18T09:45:00+05:30,resistance,PE,24500,24376.0,178.15,1,65,,0.54,2024-12-18T10:00:00+05:30,267.85,TP,15,5764.0,50.28
2025-08-19,02_SEP_25,14,2025-08-19T09:46:00+05:30,support,CE,24800,24882.4,302.1,1,65,,-0.74,2025-08-19T15:25:00+05:30,363.0,EOD,339,3892.0,20.12
2025-08-20,02_SEP_25,13,2025-08-20T09:45:00+05:30,support,CE,24850,24972.0,289.0,1,65,,-0.67,2025-08-20T15:25:00+05:30,356.05,EOD,340,4291.75,23.16
2025-08-21,02_SEP_25,12,2025-08-21T09:45:00+05:30,support,CE,24950,25061.1,286.05,1,65,,-1.01,2025-08-21T15:25:00+05:30,290.2,EOD,340,203.25,1.42
2025-08-25,02_SEP_25,8,2025-08-25T09:45:00+05:30,resistance,PE,25050,24962.75,160.0,1,65,,0.42,2025-08-25T11:04:00+05:30,158.55,BE_STOP,79,-160.75,-0.97
2025-08-25,02_SEP_25,8,2025-08-25T11:34:00+05:30,resistance,PE,25050,24949.15,160.15,1,65,,0.58,2025-08-25T13:06:00+05:30,135.65,BREAK_SR,92,-1659.0,-15.36
2025-08-25,02_SEP_25,8,2025-08-25T14:21:00+05:30,resistance,PE,25100,24988.1,174.0,1,65,,-0.08,2025-08-25T15:25:00+05:30,172.4,EOD,64,-170.5,-0.98
2025-08-28,02_SEP_25,5,2025-08-28T10:38:00+05:30,support,CE,24500,24618.15,214.5,1,65,,0.25,2025-08-28T11:56:00+05:30,211.0,BE_STOP,78,-294.0,-1.68
2025-08-28,02_SEP_25,5,2025-08-28T12:46:00+05:30,support,CE,24500,24595.15,186.35,1,65,,0.33,2025-08-28T12:58:00+05:30,179.85,BREAK_SR,12,-489.0,-3.54
2025-08-29,02_SEP_25,4,2025-08-29T09:47:00+05:30,support,CE,24400,24502.9,188.1,1,65,,-0.91,2025-08-29T12:59:00+05:30,187.6,BE_STOP,192,-99.0,-0.32
2025-08-29,02_SEP_25,4,2025-08-29T13:29:00+05:30,support,CE,24400,24520.3,181.0,1,65,,-3.8,2025-08-29T15:08:00+05:30,125.45,SL,99,-3677.25,-30.74
2025-09-02,02_SEP_25,0,2025-09-02T09:53:00+05:30,resistance,PE,24800,24718.1,87.75,3,195,,0.18,2025-09-02T10:04:00+05:30,65.5,BREAK_SR,11,-4418.25,-25.46
2025-09-02,02_SEP_25,0,2025-09-02T10:34:00+05:30,resistance,PE,24800,24718.45,84.6,3,195,,-0.18,2025-09-02T11:10:00+05:30,62.1,BREAK_SR,36,-4467.0,-26.7
2025-09-02,02_SEP_25,0,2025-09-02T11:52:00+05:30,resistance,PE,24850,24730.65,109.95,2,130,,-0.45,2025-09-02T12:33:00+05:30,95.85,BREAK_SR,41,-1906.0,-12.91
2025-09-02,02_SEP_25,0,2025-09-02T13:04:00+05:30,resistance,PE,24850,24738.25,102.0,3,195,,-0.27,2025-09-02T13:24:00+05:30,154.25,TP,20,10109.25,51.1
2025-09-02,02_SEP_25,0,2025-09-02T13:54:00+05:30,resistance,PE,24750,24627.7,123.25,2,130,,1.07,2025-09-02T14:03:00+05:30,190.8,TP,9,8708.5,54.7
2025-09-03,09_SEP_25,6,2025-09-03T09:45:00+05:30,support,CE,24450,24557.1,203.5,1,65,,-2.27,2025-09-03T15:09:00+05:30,314.05,TP,324,7119.25,54.26
2025-09-04,09_SEP_25,5,2025-09-04T10:40:00+05:30,resistance,PE,24900,24825.0,133.0,2,130,,-0.36,2025-09-04T10:49:00+05:30,127.3,BREAK_SR,9,-814.0,-4.36
2025-09-04,09_SEP_25,5,2025-09-04T11:19:00+05:30,resistance,PE,24900,24819.5,133.05,2,130,,0.0,2025-09-04T12:06:00+05:30,123.1,BREAK_SR,47,-1366.5,-7.55
2025-09-04,09_SEP_25,5,2025-09-04T12:38:00+05:30,resistance,PE,24900,24798.95,146.35,2,130,,-0.36,2025-09-04T12:46:00+05:30,125.05,BREAK_SR,8,-2842.0,-14.62
2025-09-04,09_SEP_25,5,2025-09-04T13:47:00+05:30,resistance,PE,24900,24782.55,153.15,2,130,,-0.45,2025-09-04T15:25:00+05:30,177.2,EOD,98,3053.5,15.63
2025-09-05,09_SEP_25,4,2025-09-05T10:05:00+05:30,resistance,PE,24850,24770.25,114.8,2,130,,-0.47,2025-09-05T10:12:00+05:30,203.0,TP,7,11393.0,76.71
2025-09-05,09_SEP_25,4,2025-09-05T13:49:00+05:30,resistance,PE,24850,24742.85,126.95,2,130,,1.41,2025-09-05T15:25:00+05:30,126.1,EOD,96,-183.5,-0.75
2025-09-08,09_SEP_25,1,2025-09-08T09:46:00+05:30,resistance,PE,24950,24827.8,133.95,2,130,,0.0,2025-09-08T11:17:00+05:30,133.1,BE_STOP,91,-183.5,-0.71
2025-09-08,09_SEP_25,1,2025-09-08T11:47:00+05:30,resistance,PE,24900,24819.8,96.0,3,195,,-0.37,2025-09-08T12:40:00+05:30,64.85,SL,53,-6153.75,-32.54
2025-09-09,09_SEP_25,0,2025-09-09T09:46:00+05:30,resistance,PE,24950,24854.55,100.35,3,195,,0.09,2025-09-09T12:21:00+05:30,99.65,BE_STOP,155,-216.0,-0.8
2025-09-09,09_SEP_25,0,2025-09-09T12:52:00+05:30,resistance,PE,24950,24865.45,96.95,3,195,,1.2,2025-09-09T15:25:00+05:30,81.05,EOD,153,-3180.0,-16.49
2025-09-10,16_SEP_25,6,2025-09-10T13:15:00+05:30,resistance,PE,25050,24955.2,140.4,2,130,,-0.38,2025-09-10T13:25:00+05:30,131.85,BREAK_SR,10,-1184.5,-6.16
2025-09-10,16_SEP_25,6,2025-09-10T14:00:00+05:30,resistance,PE,25050,24955.4,135.95,2,130,,-0.19,2025-09-10T14:06:00+05:30,122.35,BREAK_SR,6,-1841.0,-10.07
2025-09-11,16_SEP_25,5,2025-09-11T09:45:00+05:30,resistance,PE,25100,24977.4,145.7,2,130,,0.09,2025-09-11T15:25:00+05:30,116.9,EOD,340,-3817.0,-19.83
2025-09-12,16_SEP_25,4,2025-09-12T09:51:00+05:30,resistance,PE,25150,25058.15,113.8,2,130,,0.0,2025-09-12T11:08:00+05:30,92.0,BREAK_SR,77,-2907.0,-19.24
2025-09-15,16_SEP_25,1,2025-09-15T09:45:00+05:30,support,CE,25000,25092.0,129.9,2,130,,0.29,2025-09-15T15:25:00+05:30,121.5,EOD,340,-1165.0,-6.54
2025-09-16,16_SEP_25,0,2025-09-16T09:45:00+05:30,resistance,PE,25250,25134.3,117.05,2,130,,0.1,2025-09-16T09:59:00+05:30,95.4,BREAK_SR,14,-2887.5,-18.57
2025-09-16,16_SEP_25,0,2025-09-16T10:50:00+05:30,resistance,PE,25250,25152.95,95.25,3,195,,0.58,2025-09-16T10:54:00+05:30,90.4,BREAK_SR,4,-1025.25,-5.19
2025-09-17,23_SEP_25,6,2025-09-17T10:16:00+05:30,resistance,PE,25400,25307.65,127.45,2,130,,-0.39,2025-09-17T15:25:00+05:30,114.55,EOD,309,-1750.0,-10.2
2025-09-18,23_SEP_25,5,2025-09-18T10:11:00+05:30,resistance,PE,25500,25405.6,115.1,2,130,,0.8,2025-09-18T10:25:00+05:30,108.15,BREAK_SR,14,-976.5,-6.12
2025-09-18,23_SEP_25,5,2025-09-18T12:31:00+05:30,resistance,PE,25500,25409.15,107.05,2,130,,0.2,2025-09-18T15:01:00+05:30,106.1,BE_STOP,150,-196.5,-0.98
2025-09-22,23_SEP_25,1,2025-09-22T09:45:00+05:30,support,CE,25200,25324.75,164.5,1,65,,0.19,2025-09-22T14:28:00+05:30,108.2,BREAK_SR,283,-3726.0,-34.28
2025-09-23,23_SEP_25,0,2025-09-23T12:37:00+05:30,resistance,PE,25300,25208.4,91.15,3,195,,3.2,2025-09-23T13:02:00+05:30,87.75,BE_STOP,25,-742.5,-3.84
2025-09-23,23_SEP_25,0,2025-09-23T13:33:00+05:30,resistance,PE,25350,25229.0,106.55,2,130,,2.91,2025-09-23T14:05:00+05:30,103.25,BE_STOP,32,-502.0,-3.19
2025-09-24,30_SEP_25,6,2025-09-24T09:56:00+05:30,support,CE,25000,25086.35,195.15,1,65,,0.19,2025-09-24T10:45:00+05:30,185.9,BREAK_SR,49,-667.75,-4.79
2025-09-24,30_SEP_25,6,2025-09-24T11:48:00+05:30,support,CE,25000,25079.95,186.5,1,65,,-0.09,2025-09-24T11:53:00+05:30,183.0,BREAK_SR,5,-294.0,-1.93
2025-09-24,30_SEP_25,6,2025-09-24T12:24:00+05:30,support,CE,25000,25100.35,204.3,1,65,,-0.47,2025-09-24T14:41:00+05:30,188.4,BREAK_SR,137,-1100.0,-7.83
2025-09-25,30_SEP_25,5,2025-09-25T09:45:00+05:30,resistance,PE,25150,25039.55,137.0,2,130,,-0.47,2025-09-25T15:01:00+05:30,206.5,TP,316,8962.0,50.64
2025-09-26,30_SEP_25,4,2025-09-26T09:47:00+05:30,support,CE,24700,24799.25,191.45,1,65,,-1.27,2025-09-26T10:08:00+05:30,177.25,BREAK_SR,21,-989.5,-7.47
2025-09-26,30_SEP_25,4,2025-09-26T10:39:00+05:30,support,CE,24700,24795.55,184.05,1,65,,-1.45,2025-09-26T10:57:00+05:30,174.0,BREAK_SR,18,-719.75,-5.51
2025-09-26,30_SEP_25,4,2025-09-26T12:50:00+05:30,support,CE,24700,24786.55,168.7,1,65,,-0.99,2025-09-26T12:52:00+05:30,165.35,BREAK_SR,2,-284.25,-2.04
2025-09-29,30_SEP_25,1,2025-09-29T11:36:00+05:30,resistance,PE,24800,24681.15,102.75,2,130,,-0.26,2025-09-29T12:39:00+05:30,164.7,TP,63,7980.5,60.17
2025-09-29,30_SEP_25,1,2025-09-29T13:09:00+05:30,support,CE,24550,24661.55,170.45,1,65,,-0.17,2025-09-29T14:50:00+05:30,169.95,BE_STOP,101,-99.0,-0.35
2025-09-30,30_SEP_25,0,2025-09-30T09:50:00+05:30,resistance,PE,24750,24661.7,103.55,2,130,,2.22,2025-09-30T10:36:00+05:30,157.05,TP,46,6882.0,51.54
2025-09-30,30_SEP_25,0,2025-09-30T11:14:00+05:30,resistance,PE,24750,24666.9,97.5,3,195,,3.02,2025-09-30T11:31:00+05:30,95.8,BE_STOP,17,-411.0,-1.85
2025-09-30,30_SEP_25,0,2025-09-30T12:20:00+05:30,resistance,PE,24750,24665.05,89.35,3,195,,2.13,2025-09-30T14:10:00+05:30,135.9,TP,110,8997.75,51.96
2025-10-01,07_OCT_25,6,2025-10-01T10:06:00+05:30,support,CE,24550,24632.4,179.8,1,65,,-2.42,2025-10-01T11:33:00+05:30,272.2,TP,87,5939.5,51.32
2025-10-03,07_OCT_25,4,2025-10-03T09:47:00+05:30,support,CE,24700,24790.95,162.8,1,65,,-1.23,2025-10-03T12:32:00+05:30,161.8,BE_STOP,165,-131.5,-0.68
2025-10-03,07_OCT_25,4,2025-10-03T13:03:00+05:30,support,CE,24700,24816.95,174.8,1,65,,-2.93,2025-10-03T15:25:00+05:30,234.65,EOD,142,3823.75,34.17
