expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,gross_pnl,net_pnl,return_pct
31_OCT_24,2024-10-31T10:18:00+05:30,CE,24250,24252.85,31.55,43.75,7,455,2024-10-31T10:38:00+05:30,42.2,24265.35,TIME_STOP,20,-750.75,-810.75,-3.77
07_NOV_24,2024-11-07T09:30:00+05:30,CE,24350,24351.1,33.85,58.55,5,325,2024-11-07T09:50:00+05:30,57.85,24357.0,TIME_STOP,20,-260.0,-320.0,-1.37
07_NOV_24,2024-11-07T09:58:00+05:30,CE,24300,24293.9,47.95,58.5,5,325,2024-11-07T10:01:00+05:30,41.95,24236.75,SL,3,-5411.25,-5471.25,-28.44
07_NOV_24,2024-11-07T10:27:00+05:30,CE,24200,24196.1,40.25,43.6,7,455,2024-11-07T10:47:00+05:30,45.3,24215.45,TIME_STOP,20,728.0,668.0,3.67
07_NOV_24,2024-11-07T10:55:00+05:30,PE,24250,24256.4,43.5,46.05,6,390,2024-11-07T11:15:00+05:30,57.7,24225.35,TIME_STOP,20,4504.5,4444.5,25.05
07_NOV_24,2024-11-07T11:19:00+05:30,CE,24200,24194.15,39.05,33.4,9,585,2024-11-07T11:39:00+05:30,42.65,24219.2,TIME_STOP,20,5352.75,5292.75,27.35
14_NOV_24,2024-11-14T09:30:00+05:30,CE,23600,23577.4,43.25,65.84,4,260,2024-11-14T09:41:00+05:30,42.1,23515.1,SL,11,-6198.4,-6258.4,-36.18
14_NOV_24,2024-11-14T09:46:00+05:30,PE,23600,23589.05,73.95,83.2,3,195,2024-11-14T10:00:00+05:30,47.3,23641.1,SL,14,-7020.0,-7080.0,-43.24
14_NOV_24,2024-11-14T10:10:00+05:30,CE,23600,23620.45,40.75,61.45,5,325,2024-11-14T10:19:00+05:30,42.95,23603.8,SL,9,-6045.0,-6105.0,-30.24
21_NOV_24,2024-11-21T09:31:00+05:30,CE,23350,23346.25,41.4,51.75,5,325,2024-11-21T09:34:00+05:30,36.25,23312.05,SL,3,-5070.0,-5130.0,-30.12
21_NOV_24,2024-11-21T09:39:00+05:30,CE,23300,23283.6,36.7,39.5,7,455,2024-11-21T09:43:00+05:30,53.55,23327.35,TP,4,6347.25,6287.25,35.27
21_NOV_24,2024-11-21T09:43:00+05:30,PE,23350,23327.35,61.45,84.0,3,195,2024-11-21T10:03:00+05:30,70.15,23338.5,TIME_STOP,20,-2720.25,-2780.25,-16.6
21_NOV_24,2024-11-21T10:07:00+05:30,CE,23350,23339.15,33.7,20.6,14,910,2024-11-21T10:27:00+05:30,17.5,23330.95,TIME_STOP,20,-2912.0,-2972.0,-15.5
28_NOV_24,2024-11-28T09:51:00+05:30,PE,24300,24316.55,44.45,66.45,4,260,2024-11-28T10:03:00+05:30,48.75,24337.35,SL,12,-4628.0,-4688.0,-26.77
28_NOV_24,2024-11-28T10:32:00+05:30,CE,24300,24278.55,37.45,48.8,6,390,2024-11-28T10:38:00+05:30,34.6,24123.6,SL,6,-5577.0,-5637.0,-29.27
28_NOV_24,2024-11-28T10:48:00+05:30,CE,24100,24076.45,50.25,85.05,3,195,2024-11-28T11:08:00+05:30,75.3,24098.15,TIME_STOP,20,-1920.75,-1980.75,-11.57
28_NOV_24,2024-11-28T11:17:00+05:30,CE,24050,24050.65,39.25,77.65,3,195,2024-11-28T11:37:00+05:30,86.65,24058.15,TIME_STOP,20,1735.5,1675.5,11.45
28_NOV_24,2024-11-28T11:48:00+05:30,PE,24100,24091.5,31.1,89.9,3,195,2024-11-28T11:58:00+05:30,117.6,24054.95,TP,10,5382.0,5322.0,30.68
28_NOV_24,2024-11-28T11:58:00+05:30,CE,24050,24054.95,42.05,80.45,3,195,2024-11-28T12:18:00+05:30,87.7,24074.0,TIME_STOP,20,1394.25,1334.25,8.88
28_NOV_24,2024-11-28T12:33:00+05:30,CE,24050,24054.95,37.05,69.4,4,260,2024-11-28T12:38:00+05:30,48.3,24002.7,SL,5,-5512.0,-5572.0,-30.53
28_NOV_24,2024-11-28T13:00:00+05:30,CE,24000,24001.65,31.65,67.4,4,260,2024-11-28T13:08:00+05:30,45.45,23975.6,SL,8,-5733.0,-5793.0,-32.69
28_NOV_24,2024-11-28T13:56:00+05:30,PE,24000,24017.45,34.35,58.1,5,325,2024-11-28T14:01:00+05:30,41.9,24027.4,SL,5,-5297.5,-5357.5,-28.03
28_NOV_24,2024-11-28T14:06:00+05:30,PE,24050,24060.05,32.65,46.6,6,390,2024-11-28T14:10:00+05:30,69.8,24019.1,TP,4,9009.0,8949.0,49.52
28_NOV_24,2024-11-28T14:10:00+05:30,CE,24000,24019.1,53.75,72.3,4,260,2024-11-28T14:13:00+05:30,28.9,23879.6,SL,3,-11310.0,-11370.0,-60.12
28_NOV_24,2024-11-28T14:25:00+05:30,PE,23950,23947.2,34.7,68.0,4,260,2024-11-28T14:28:00+05:30,48.7,23965.95,SL,3,-5044.0,-5104.0,-28.51
12_DEC_24,2024-12-12T12:06:00+05:30,CE,24550,24560.4,31.85,47.25,6,390,2024-12-12T12:26:00+05:30,48.05,24561.1,TIME_STOP,20,273.0,213.0,1.48
02_SEP_25,2025-09-02T09:31:00+05:30,PE,24650,24671.1,34.8,27.45,11,715,2025-09-02T09:43:00+05:30,20.55,24684.8,SL,12,-5005.0,-5065.0,-25.45
02_SEP_25,2025-09-02T13:41:00+05:30,CE,24650,24661.0,38.85,33.35,9,585,2025-09-02T13:53:00+05:30,21.15,24644.9,SL,12,-7195.5,-7255.5,-36.83
02_SEP_25,2025-09-02T13:58:00+05:30,CE,24600,24605.25,43.15,29.65,10,650,2025-09-02T14:02:00+05:30,19.8,24577.4,SL,4,-6467.5,-6527.5,-33.5
02_SEP_25,2025-09-02T14:07:00+05:30,CE,24550,24544.35,33.05,37.25,8,520,2025-09-02T14:10:00+05:30,54.0,24587.3,TP,3,8658.0,8598.0,44.64
02_SEP_25,2025-09-02T14:10:00+05:30,PE,24600,24587.3,42.95,37.95,8,520,2025-09-02T14:11:00+05:30,49.4,24574.2,TP,1,5902.0,5842.0,29.87
02_SEP_25,2025-09-02T14:22:00+05:30,PE,24600,24602.1,39.9,28.7,10,650,2025-09-02T14:23:00+05:30,41.8,24579.5,TP,1,8450.0,8390.0,45.22
02_SEP_25,2025-09-02T14:24:00+05:30,CE,24550,24553.65,48.45,26.15,11,715,2025-09-02T14:28:00+05:30,19.15,24534.2,SL,4,-5076.5,-5136.5,-27.1
23_SEP_25,2025-09-23T09:30:00+05:30,CE,25150,25172.95,48.0,59.45,5,325,2025-09-23T09:42:00+05:30,43.0,25145.2,SL,12,-5378.75,-5438.75,-27.82
23_SEP_25,2025-09-23T10:22:00+05:30,CE,25100,25113.65,34.9,55.8,5,325,2025-09-23T10:42:00+05:30,64.3,25131.4,TIME_STOP,20,2730.0,2670.0,15.04
23_SEP_25,2025-09-23T12:35:00+05:30,PE,25200,25207.15,44.7,28.25,10,650,2025-09-23T12:45:00+05:30,37.2,25176.95,TP,10,5752.5,5692.5,31.27
23_SEP_25,2025-09-23T12:45:00+05:30,CE,25200,25176.95,41.05,29.4,10,650,2025-09-23T13:00:00+05:30,40.7,25197.4,TP,15,7280.0,7220.0,38.03
23_SEP_25,2025-09-23T13:31:00+05:30,PE,25250,25238.3,41.85,27.8,11,715,2025-09-23T13:37:00+05:30,37.05,25219.9,TP,6,6542.25,6482.25,32.85
23_SEP_25,2025-09-23T14:14:00+05:30,CE,25200,25206.9,47.8,36.25,8,520,2025-09-23T14:21:00+05:30,24.4,25200.85,SL,7,-6214.0,-6274.0,-32.92
30_SEP_25,2025-09-30T09:30:00+05:30,CE,24650,24655.65,58.8,67.3,4,260,2025-09-30T09:50:00+05:30,64.7,24661.7,TIME_STOP,20,-702.0,-762.0,-4.01
30_SEP_25,2025-09-30T10:38:00+05:30,CE,24600,24595.6,30.45,48.25,6,390,2025-09-30T10:53:00+05:30,64.9,24623.95,TP,15,6454.5,6394.5,34.27
30_SEP_25,2025-09-30T11:25:00+05:30,CE,24650,24639.95,37.3,42.3,7,455,2025-09-30T11:35:00+05:30,56.0,24662.55,TP,10,6188.0,6128.0,32.11
30_SEP_25,2025-09-30T14:11:00+05:30,CE,24600,24607.75,34.4,38.85,7,455,2025-09-30T14:19:00+05:30,24.1,24601.4,SL,8,-6756.75,-6816.75,-38.17
30_SEP_25,2025-09-30T14:23:00+05:30,PE,24650,24626.7,33.2,42.6,7,455,2025-09-30T14:35:00+05:30,23.3,24644.25,SL,12,-8827.0,-8887.0,-45.49
07_OCT_25,2025-10-07T09:51:00+05:30,PE,25200,25182.55,34.65,47.8,6,390,2025-10-07T10:11:00+05:30,43.9,25185.2,TIME_STOP,20,-1560.0,-1620.0,-8.36
07_OCT_25,2025-10-07T11:23:00+05:30,CE,25100,25116.2,31.9,51.9,5,325,2025-10-07T11:35:00+05:30,36.2,25100.55,SL,12,-5135.0,-5195.0,-30.41
07_OCT_25,2025-10-07T14:28:00+05:30,CE,25150,25161.7,33.85,29.4,10,650,2025-10-07T14:34:00+05:30,18.15,25158.3,SL,6,-7377.5,-7437.5,-38.54
14_OCT_25,2025-10-14T09:39:00+05:30,CE,25250,25248.35,43.0,57.05,5,325,2025-10-14T09:59:00+05:30,44.6,25207.55,TIME_STOP,20,-4078.75,-4138.75,-21.98
14_OCT_25,2025-10-14T10:05:00+05:30,CE,25200,25188.6,31.7,56.45,5,325,2025-10-14T10:25:00+05:30,59.7,25195.3,TIME_STOP,20,1023.75,963.75,5.58
14_OCT_25,2025-10-14T10:26:00+05:30,PE,25200,25202.05,32.35,48.85,6,390,2025-10-14T10:44:00+05:30,34.5,25219.05,SL,18,-5635.5,-5695.5,-29.55
14_OCT_25,2025-10-14T10:51:00+05:30,CE,25200,25207.55,30.0,54.8,5,325,2025-10-14T11:06:00+05:30,38.4,25179.15,SL,15,-5362.5,-5422.5,-30.08
14_OCT_25,2025-10-14T11:19:00+05:30,CE,25150,25140.8,33.2,47.1,6,390,2025-10-14T11:39:00+05:30,47.7,25148.4,TIME_STOP,20,195.0,135.0,1.06
14_OCT_25,2025-10-14T12:07:00+05:30,CE,25150,25133.25,31.05,39.0,7,455,2025-10-14T12:10:00+05:30,28.05,25104.85,SL,3,-5027.75,-5087.75,-28.3
14_OCT_25,2025-10-14T12:28:00+05:30,CE,25100,25092.2,34.15,38.6,7,455,2025-10-14T12:48:00+05:30,32.3,25085.2,TIME_STOP,20,-2912.0,-2972.0,-16.56
14_OCT_25,2025-10-14T13:08:00+05:30,CE,25050,25070.9,30.2,52.55,5,325,2025-10-14T13:28:00+05:30,61.8,25099.15,TIME_STOP,20,2973.75,2913.75,17.4
14_OCT_25,2025-10-14T13:46:00+05:30,CE,25100,25102.85,32.4,39.55,7,455,2025-10-14T14:06:00+05:30,53.25,25132.4,TP,20,6188.0,6128.0,34.34
14_OCT_25,2025-10-14T14:12:00+05:30,CE,25100,25099.75,31.05,33.35,9,585,2025-10-14T14:24:00+05:30,50.5,25149.1,TP,12,9974.25,9914.25,51.05
14_OCT_25,2025-10-14T14:24:00+05:30,PE,25150,25149.1,42.8,25.05,12,780,2025-10-14T14:28:00+05:30,18.0,25151.2,SL,4,-5577.0,-5637.0,-28.49
28_OCT_25,2025-10-28T09:32:00+05:30,PE,26000,26012.75,42.35,49.35,6,390,2025-10-28T09:52:00+05:30,61.4,25990.75,TIME_STOP,20,4660.5,4600.5,24.19
28_OCT_25,2025-10-28T09:53:00+05:30,CE,25950,25963.85,53.35,87.05,3,195,2025-10-28T10:04:00+05:30,64.35,25928.65,SL,11,-4446.0,-4506.0,-26.18
28_OCT_25,2025-10-28T10:54:00+05:30,CE,25850,25858.25,31.45,67.05,4,260,2025-10-28T11:14:00+05:30,63.7,25852.3,TIME_STOP,20,-897.0,-957.0,-5.14
28_OCT_25,2025-10-28T11:56:00+05:30,CE,25850,25863.9,31.15,60.7,5,325,2025-10-28T12:06:00+05:30,39.95,25830.45,SL,10,-6776.25,-6836.25,-34.32
28_OCT_25,2025-10-28T12:36:00+05:30,PE,25900,25895.55,37.15,35.55,8,520,2025-10-28T12:44:00+05:30,24.95,25929.0,SL,8,-5564.0,-5624.0,-30.06
28_OCT_25,2025-10-28T13:05:00+05:30,CE,25900,25911.45,33.95,61.65,4,260,2025-10-28T13:25:00+05:30,71.5,25939.95,TIME_STOP,20,2535.0,2475.0,15.8
28_OCT_25,2025-10-28T13:27:00+05:30,PE,25950,25952.55,30.1,27.45,11,715,2025-10-28T13:36:00+05:30,37.55,25933.15,TP,9,7150.0,7090.0,36.36
28_OCT_25,2025-10-28T13:43:00+05:30,CE,25900,25893.0,37.85,35.0,8,520,2025-10-28T13:46:00+05:30,24.3,25871.8,SL,3,-5616.0,-5676.0,-30.81
28_OCT_25,2025-10-28T14:04:00+05:30,CE,25850,25857.9,36.35,33.5,9,585,2025-10-28T14:14:00+05:30,45.2,25873.7,TP,10,6786.0,6726.0,34.58
28_OCT_25,2025-10-28T14:26:00+05:30,CE,25800,25816.7,34.9,42.65,7,455,2025-10-28T14:45:00+05:30,57.2,25849.7,TP,19,6574.75,6514.75,33.84
04_NOV_25,2025-11-04T09:30:00+05:30,CE,25700,25708.1,42.0,58.45,5,325,2025-11-04T09:50:00+05:30,49.5,25688.5,TIME_STOP,20,-2941.25,-3001.25,-15.47
04_NOV_25,2025-11-04T14:12:00+05:30,CE,25600,25610.8,35.85,36.25,8,520,2025-11-04T14:32:00+05:30,32.95,25615.2,TIME_STOP,20,-1768.0,-1828.0,-9.37
11_NOV_25,2025-11-11T09:36:00+05:30,CE,25500,25494.15,30.65,51.95,5,325,2025-11-11T09:41:00+05:30,70.25,25521.95,TP,5,5915.0,5855.0,35.0
11_NOV_25,2025-11-11T10:14:00+05:30,CE,25500,25501.95,35.35,50.3,6,390,2025-11-11T10:33:00+05:30,33.35,25471.15,SL,19,-6649.5,-6709.5,-33.86
11_NOV_25,2025-11-11T11:53:00+05:30,PE,25550,25530.9,30.25,42.6,7,455,2025-11-11T12:13:00+05:30,42.3,25531.05,TIME_STOP,20,-182.0,-242.0,-0.94
11_NOV_25,2025-11-11T13:48:00+05:30,PE,25650,25661.65,35.2,20.8,14,910,2025-11-11T13:58:00+05:30,29.15,25634.35,TP,10,7507.5,7447.5,39.57
11_NOV_25,2025-11-11T13:58:00+05:30,CE,25650,25634.35,36.35,24.0,12,780,2025-11-11T14:03:00+05:30,16.7,25639.2,SL,5,-5772.0,-5832.0,-30.77
11_NOV_25,2025-11-11T14:19:00+05:30,PE,25700,25679.5,32.3,35.05,8,520,2025-11-11T14:26:00+05:30,24.9,25692.6,SL,7,-5330.0,-5390.0,-29.2
18_NOV_25,2025-11-18T09:50:00+05:30,CE,25900,25918.1,35.8,62.35,4,260,2025-11-18T10:10:00+05:30,55.2,25901.25,TIME_STOP,20,-1885.0,-1945.0,-11.62
25_NOV_25,2025-11-25T09:55:00+05:30,PE,26000,25987.85,32.55,54.85,5,325,2025-11-25T10:11:00+05:30,39.85,26018.9,SL,16,-4907.5,-4967.5,-27.5
25_NOV_25,2025-11-25T10:56:00+05:30,CE,25950,25953.25,33.45,46.1,6,390,2025-11-25T11:03:00+05:30,34.55,25932.65,SL,7,-4543.5,-4603.5,-25.24
25_NOV_25,2025-11-25T14:30:00+05:30,CE,25950,25956.9,34.05,23.35,13,845,2025-11-25T14:37:00+05:30,15.9,25955.15,SL,7,-6379.75,-6439.75,-32.26
02_DEC_25,2025-12-02T09:31:00+05:30,CE,26100,26118.15,30.25,64.3,4,260,2025-12-02T09:42:00+05:30,48.15,26088.75,SL,11,-4225.0,-4285.0,-25.25
09_DEC_25,2025-12-09T09:30:00+05:30,CE,25800,25776.35,46.35,49.25,6,390,2025-12-09T09:50:00+05:30,38.6,25747.65,TIME_STOP,20,-4192.5,-4252.5,-21.81
09_DEC_25,2025-12-09T10:08:00+05:30,PE,25800,25787.4,35.8,55.05,5,325,2025-12-09T10:18:00+05:30,30.8,25830.45,SL,10,-7913.75,-7973.75,-44.19
09_DEC_25,2025-12-09T10:33:00+05:30,CE,25800,25803.65,32.55,55.5,5,325,2025-12-09T10:53:00+05:30,50.2,25795.65,TIME_STOP,20,-1755.0,-1815.0,-9.72
09_DEC_25,2025-12-09T10:59:00+05:30,PE,25850,25829.3,32.15,54.45,5,325,2025-12-09T11:13:00+05:30,36.5,25862.95,SL,14,-5866.25,-5926.25,-33.12
09_DEC_25,2025-12-09T11:44:00+05:30,CE,25800,25823.2,43.9,55.0,5,325,2025-12-09T11:56:00+05:30,77.7,25850.7,TP,12,7345.0,7285.0,41.05
09_DEC_25,2025-12-09T12:24:00+05:30,PE,25900,25921.55,33.4,24.45,12,780,2025-12-09T12:27:00+05:30,32.8,25904.75,TP,3,6435.0,6375.0,33.67
09_DEC_25,2025-12-09T14:16:00+05:30,CE,25850,25862.15,31.3,36.1,8,520,2025-12-09T14:20:00+05:30,21.9,25841.55,SL,4,-7436.0,-7496.0,-39.56
16_DEC_25,2025-12-16T09:59:00+05:30,CE,25900,25906.1,35.9,46.8,6,390,2025-12-16T10:19:00+05:30,48.65,25912.45,TIME_STOP,20,682.5,622.5,3.74
16_DEC_25,2025-12-16T14:22:00+05:30,CE,25850,25850.75,30.8,22.95,13,845,2025-12-16T14:42:00+05:30,27.25,25867.1,TIME_STOP,20,3549.0,3489.0,18.26
23_DEC_25,2025-12-23T09:58:00+05:30,PE,26150,26174.55,30.2,28.0,10,650,2025-12-23T10:11:00+05:30,19.75,26193.75,SL,13,-5427.5,-5487.5,-29.77
23_DEC_25,2025-12-23T14:18:00+05:30,PE,26250,26231.6,33.85,34.9,8,520,2025-12-23T14:33:00+05:30,50.0,26201.2,TP,15,7800.0,7740.0,42.92
30_DEC_25,2025-12-30T09:36:00+05:30,PE,25900,25913.8,30.3,33.04,9,585,2025-12-30T09:43:00+05:30,23.45,25936.85,SL,7,-5668.65,-5728.65,-29.28
30_DEC_25,2025-12-30T09:49:00+05:30,CE,25900,25908.25,31.5,42.45,7,455,2025-12-30T09:51:00+05:30,58.0,25926.25,TP,2,7029.75,6969.75,36.35
30_DEC_25,2025-12-30T09:55:00+05:30,PE,25950,25948.05,38.65,38.04,8,520,2025-12-30T10:15:00+05:30,36.2,25951.55,TIME_STOP,20,-1008.8,-1068.8,-5.09
06_JAN_26,2026-01-06T09:33:00+05:30,PE,26200,26212.1,39.4,32.6,9,585,2026-01-06T09:53:00+05:30,24.55,26233.2,TIME_STOP,20,-4767.75,-4827.75,-24.96
06_JAN_26,2026-01-06T11:16:00+05:30,CE,26150,26167.7,37.5,41.25,7,455,2026-01-06T11:36:00+05:30,40.25,26170.5,TIME_STOP,20,-500.5,-560.5,-2.66
13_JAN_26,2026-01-13T09:30:00+05:30,CE,25750,25766.85,55.5,74.09,4,260,2026-01-13T09:41:00+05:30,53.15,25720.1,SL,11,-5470.4,-5530.4,-28.38
13_JAN_26,2026-01-13T09:45:00+05:30,PE,25750,25766.4,52.55,52.5,5,325,2026-01-13T09:55:00+05:30,70.34,25731.0,TP,10,5765.5,5705.5,33.76
13_JAN_26,2026-01-13T09:55:00+05:30,CE,25750,25731.0,34.05,51.9,5,325,2026-01-13T10:09:00+05:30,67.7,25760.65,TP,14,5102.5,5042.5,30.22
13_JAN_26,2026-01-13T10:17:00+05:30,CE,25750,25733.15,31.85,46.9,6,390,2026-01-13T10:21:00+05:30,67.4,25772.2,TP,4,7956.0,7896.0,43.45
13_JAN_26,2026-01-13T10:21:00+05:30,PE,25750,25772.2,39.6,42.35,7,455,2026-01-13T10:28:00+05:30,27.5,25799.8,SL,7,-6802.25,-6862.25,-35.26
13_JAN_26,2026-01-13T10:35:00+05:30,CE,25800,25783.95,40.05,41.85,7,455,2026-01-13T10:43:00+05:30,30.4,25753.4,SL,8,-5255.25,-5315.25,-27.57
13_JAN_26,2026-01-13T10:50:00+05:30,PE,25800,25794.3,33.85,48.85,6,390,2026-01-13T10:55:00+05:30,64.25,25765.7,TP,5,5967.0,5907.0,31.29
13_JAN_26,2026-01-13T10:55:00+05:30,CE,25750,25765.7,30.4,59.4,5,325,2026-01-13T11:15:00+05:30,72.84,25787.55,TIME_STOP,20,4335.5,4275.5,22.44
13_JAN_26,2026-01-13T12:00:00+05:30,CE,25750,25747.9,31.05,39.54,7,455,2026-01-13T12:11:00+05:30,29.5,25731.95,SL,11,-4613.7,-4673.7,-25.61
13_JAN_26,2026-01-13T12:50:00+05:30,CE,25650,25667.3,35.6,46.85,6,390,2026-01-13T13:01:00+05:30,31.75,25634.4,SL,11,-5928.0,-5988.0,-32.41
13_JAN_26,2026-01-13T13:10:00+05:30,PE,25650,25669.25,33.3,28.8,10,650,2026-01-13T13:30:00+05:30,25.5,25661.85,TIME_STOP,20,-2210.0,-2270.0,-11.79
20_JAN_26,2026-01-20T09:37:00+05:30,CE,25450,25462.5,37.25,67.65,4,260,2026-01-20T09:57:00+05:30,61.1,25443.8,TIME_STOP,20,-1729.0,-1789.0,-9.82
20_JAN_26,2026-01-20T13:36:00+05:30,CE,25400,25378.05,36.55,25.55,12,780,2026-01-20T13:56:00+05:30,21.0,25367.55,TIME_STOP,20,-3627.0,-3687.0,-18.16
27_JAN_26,2026-01-27T09:33:00+05:30,PE,25000,24989.85,45.45,89.9,3,195,2026-01-27T09:38:00+05:30,49.3,25082.75,SL,5,-7936.5,-7996.5,-45.25
27_JAN_26,2026-01-27T09:43:00+05:30,PE,25150,25141.5,69.85,79.9,3,195,2026-01-27T10:03:00+05:30,75.0,25139.5,TIME_STOP,20,-975.0,-1035.0,-6.25
27_JAN_26,2026-01-27T10:06:00+05:30,CE,25100,25102.85,48.55,94.45,3,195,2026-01-27T10:17:00+05:30,131.95,25165.9,TP,11,7293.0,7233.0,39.58
27_JAN_26,2026-01-27T10:17:00+05:30,PE,25150,25165.9,57.95,60.65,5,325,2026-01-27T10:29:00+05:30,83.45,25117.7,TP,12,7377.5,7317.5,37.4
27_JAN_26,2026-01-27T10:29:00+05:30,CE,25100,25117.7,46.35,95.1,3,195,2026-01-27T10:41:00+05:30,59.9,25055.75,SL,12,-6883.5,-6943.5,-37.1
27_JAN_26,2026-01-27T10:51:00+05:30,CE,25000,25007.2,34.15,84.6,3,195,2026-01-27T11:11:00+05:30,85.15,25017.45,TIME_STOP,20,87.75,27.75,0.53
27_JAN_26,2026-01-27T11:30:00+05:30,PE,25100,25078.55,41.9,73.25,4,260,2026-01-27T11:41:00+05:30,53.45,25112.6,SL,11,-5174.0,-5234.0,-27.15
27_JAN_26,2026-01-27T11:48:00+05:30,CE,25100,25114.7,44.9,87.3,3,195,2026-01-27T12:08:00+05:30,88.25,25118.65,TIME_STOP,20,165.75,105.75,0.97
27_JAN_26,2026-01-27T12:21:00+05:30,PE,25100,25122.15,30.2,47.75,6,390,2026-01-27T12:36:00+05:30,64.95,25081.25,TP,15,6669.0,6609.0,35.77
27_JAN_26,2026-01-27T12:53:00+05:30,PE,25100,25093.75,35.25,54.05,5,325,2026-01-27T13:13:00+05:30,52.7,25085.35,TIME_STOP,20,-471.25,-531.25,-2.68
27_JAN_26,2026-01-27T13:36:00+05:30,CE,25100,25083.45,40.45,46.7,6,390,2026-01-27T13:38:00+05:30,32.6,25053.55,SL,2,-5538.0,-5598.0,-30.37
27_JAN_26,2026-01-27T14:04:00+05:30,CE,25000,25016.55,32.8,59.9,5,325,2026-01-27T14:24:00+05:30,63.25,25021.25,TIME_STOP,20,1056.25,996.25,5.42
03_FEB_26,2026-02-03T09:42:00+05:30,CE,25750,25730.4,44.5,98.3,3,195,2026-02-03T10:02:00+05:30,85.3,25712.7,TIME_STOP,20,-2554.5,-2614.5,-13.32
03_FEB_26,2026-02-03T10:21:00+05:30,PE,25750,25770.7,37.75,97.6,3,195,2026-02-03T10:41:00+05:30,73.55,25816.55,TIME_STOP,20,-4709.25,-4769.25,-24.73
03_FEB_26,2026-02-03T10:48:00+05:30,CE,25750,25760.15,47.35,95.85,3,195,2026-02-03T11:08:00+05:30,99.35,25786.5,TIME_STOP,20,663.0,603.0,3.55
03_FEB_26,2026-02-03T11:33:00+05:30,PE,25850,25851.5,43.85,79.65,3,195,2026-02-03T11:53:00+05:30,79.15,25836.45,TIME_STOP,20,-117.0,-177.0,-0.75
03_FEB_26,2026-02-03T12:35:00+05:30,CE,25800,25778.1,31.15,54.1,5,325,2026-02-03T12:55:00+05:30,57.7,25795.35,TIME_STOP,20,1137.5,1077.5,6.46
03_FEB_26,2026-02-03T13:26:00+05:30,CE,25750,25764.55,32.15,56.4,5,325,2026-02-03T13:35:00+05:30,39.6,25739.55,SL,9,-5492.5,-5552.5,-29.94
03_FEB_26,2026-02-03T13:38:00+05:30,PE,25750,25774.5,34.95,40.55,7,455,2026-02-03T13:40:00+05:30,30.3,25788.35,SL,2,-4709.25,-4769.25,-25.49
03_FEB_26,2026-02-03T13:58:00+05:30,CE,25750,25772.65,35.6,54.5,5,325,2026-02-03T14:18:00+05:30,45.1,25764.5,TIME_STOP,20,-3087.5,-3147.5,-17.42
10_FEB_26,2026-02-10T09:34:00+05:30,PE,25950,25943.75,32.35,49.8,6,390,2026-02-10T09:54:00+05:30,53.3,25932.6,TIME_STOP,20,1326.0,1266.0,6.82
