trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-10-24,24_OCT_24,0,2024-10-24T10:27:00+05:30,support,CE,24350,24436.0,87.65,3,195,BULL_ENGULF,-2.92,2024-10-24T11:16:00+05:30,58.95,SL,49,-5676.0,-32.84
2024-10-28,31_OCT_24,3,2024-10-28T10:07:00+05:30,resistance,PE,24350,24266.8,159.35,1,65,BEAR_PIN,0.74,2024-10-28T10:20:00+05:30,106.5,BREAK_SR,13,-3501.75,-33.22
2024-10-29,31_OCT_24,2,2024-10-29T14:25:00+05:30,resistance,PE,24500,24423.8,123.45,2,130,SHOOTING_STAR,0.97,2024-10-29T15:25:00+05:30,107.05,EOD,60,-2205.0,-13.36
2024-10-31,31_OCT_24,0,2024-10-31T09:45:00+05:30,support,CE,24200,24284.25,107.5,2,130,BULL_ENGULF,-1.82,2024-10-31T10:44:00+05:30,69.8,SL,59,-4974.0,-35.15
2024-10-31,31_OCT_24,0,2024-10-31T11:22:00+05:30,support,CE,24150,24260.3,103.65,2,130,BULL_ENGULF,-0.25,2024-10-31T11:40:00+05:30,85.8,BREAK_SR,18,-2393.5,-17.31
2024-11-07,07_NOV_24,0,2024-11-07T09:49:00+05:30,support,CE,24250,24366.95,124.25,2,130,BULL_PIN,-0.33,2024-11-07T09:54:00+05:30,102.4,BREAK_SR,5,-2913.5,-17.66
2024-11-08,14_NOV_24,6,2024-11-08T10:50:00+05:30,support,CE,24050,24166.5,242.9,1,65,BULL_PIN,-4.54,2024-11-08T15:25:00+05:30,204.65,EOD,275,-2552.75,-15.79
2024-11-11,14_NOV_24,3,2024-11-11T14:21:00+05:30,support,CE,24000,24095.6,183.0,1,65,BULL_PIN,-3.08,2024-11-11T15:25:00+05:30,210.3,EOD,64,1708.0,14.86
2024-11-12,14_NOV_24,2,2024-11-12T09:45:00+05:30,resistance,PE,24250,24149.9,177.35,1,65,SHOOTING_STAR,1.98,2024-11-12T09:59:00+05:30,117.8,SL,14,-3937.25,-33.62
2024-11-12,14_NOV_24,2,2024-11-12T10:31:00+05:30,resistance,PE,24300,24185.35,176.0,1,65,DARK_CLOUD,0.21,2024-11-12T12:41:00+05:30,273.39,TP,130,6263.85,55.26
2024-11-14,14_NOV_24,0,2024-11-14T10:06:00+05:30,resistance,PE,23750,23655.9,138.85,2,130,BEAR_PIN,2.29,2024-11-14T10:53:00+05:30,215.0,TP,47,9826.5,54.75
2024-11-18,21_NOV_24,3,2024-11-18T10:05:00+05:30,support,CE,23350,23472.8,207.9,1,65,BULL_ENGULF,-3.26,2024-11-18T10:15:00+05:30,186.35,BREAK_SR,10,-1467.25,-10.41
2024-11-18,21_NOV_24,3,2024-11-18T12:22:00+05:30,support,CE,23400,23480.75,179.15,1,65,BULL_PIN,-3.07,2024-11-18T13:16:00+05:30,175.4,BE_STOP,54,-310.25,-2.15
2024-11-18,21_NOV_24,3,2024-11-18T13:50:00+05:30,support,CE,23400,23482.1,174.65,1,65,BULL_ENGULF,-4.38,2024-11-18T14:28:00+05:30,146.1,BREAK_SR,38,-1922.25,-16.4
2024-11-21,21_NOV_24,0,2024-11-21T10:31:00+05:30,support,CE,23250,23343.8,77.9,3,195,HAMMER,0.38,2024-11-21T10:34:00+05:30,64.9,BREAK_SR,3,-2614.5,-16.81
2024-11-21,21_NOV_24,0,2024-11-21T11:04:00+05:30,support,CE,23250,23335.05,77.8,3,195,BULL_ENGULF,-0.13,2024-11-21T12:48:00+05:30,74.4,BE_STOP,104,-742.5,-4.5
2024-11-26,28_NOV_24,2,2024-11-26T09:56:00+05:30,resistance,PE,24350,24236.25,186.8,1,65,BEAR_ENGULF,1.04,2024-11-26T11:38:00+05:30,186.75,BE_STOP,102,-69.75,-0.08
2024-11-26,28_NOV_24,2,2024-11-26T12:56:00+05:30,support,CE,24100,24182.95,175.5,1,65,BULL_ENGULF,0.26,2024-11-26T15:05:00+05:30,169.25,BE_STOP,129,-472.75,-3.62
2024-11-27,28_NOV_24,1,2024-11-27T09:56:00+05:30,resistance,PE,24300,24213.8,132.69,2,130,BEAR_PIN,3.47,2024-11-27T11:32:00+05:30,131.5,BE_STOP,96,-227.7,-0.97
2024-11-27,28_NOV_24,1,2024-11-27T12:03:00+05:30,resistance,PE,24300,24188.1,142.05,2,130,SHOOTING_STAR,3.47,2024-11-27T12:21:00+05:30,97.8,SL,18,-5825.5,-31.21
2024-11-29,05_DEC_24,6,2024-11-29T09:48:00+05:30,resistance,PE,24100,24015.55,211.7,1,65,BEAR_ENGULF,0.2,2024-11-29T11:23:00+05:30,146.65,SL,95,-4294.75,-30.77
2024-12-02,05_DEC_24,3,2024-12-02T10:14:00+05:30,support,CE,24000,24118.35,249.2,1,65,BULL_PIN,-1.28,2024-12-02T14:05:00+05:30,377.1,TP,231,8247.0,51.27
2024-12-03,05_DEC_24,2,2024-12-03T09:46:00+05:30,resistance,PE,24400,24305.7,197.3,1,65,BEAR_ENGULF,2.14,2024-12-03T10:29:00+05:30,136.0,SL,43,-4051.0,-31.11
2024-12-03,05_DEC_24,2,2024-12-03T13:14:00+05:30,resistance,PE,24500,24412.15,178.75,1,65,BEAR_ENGULF,-0.28,2024-12-03T13:19:00+05:30,173.8,BREAK_SR,5,-388.25,-2.82
2024-12-04,05_DEC_24,1,2024-12-04T10:22:00+05:30,resistance,PE,24600,24509.0,170.9,1,65,BEAR_ENGULF,-0.21,2024-12-04T11:57:00+05:30,295.05,TP,95,8003.25,72.57
2024-12-04,05_DEC_24,1,2024-12-04T12:41:00+05:30,resistance,PE,24550,24472.95,175.0,1,65,SHOOTING_STAR,1.04,2024-12-04T14:07:00+05:30,117.1,SL,86,-3830.0,-33.13
2024-12-09,12_DEC_24,3,2024-12-09T09:45:00+05:30,support,CE,24550,24658.25,221.3,1,65,BULL_ENGULF,0.41,2024-12-09T15:25:00+05:30,181.55,EOD,340,-2650.25,-18.0
2024-12-10,12_DEC_24,2,2024-12-10T09:54:00+05:30,support,CE,24550,24658.35,187.8,1,65,BULL_ENGULF,-1.62,2024-12-10T12:35:00+05:30,125.15,SL,161,-4138.75,-33.4
2024-12-10,12_DEC_24,2,2024-12-10T13:12:00+05:30,support,CE,24450,24558.45,183.75,1,65,BULL_PIN,-1.48,2024-12-10T13:48:00+05:30,162.19,BREAK_SR,36,-1467.9,-11.78
2024-12-10,12_DEC_24,2,2024-12-10T14:18:00+05:30,support,CE,24450,24539.75,173.15,1,65,HAMMER,-1.97,2024-12-10T14:25:00+05:30,168.6,BREAK_SR,7,-362.25,-2.68
2024-12-11,12_DEC_24,1,2024-12-11T09:53:00+05:30,support,CE,24500,24611.4,153.5,2,130,HAMMER,-1.67,2024-12-11T14:45:00+05:30,151.15,BE_STOP,292,-378.5,-1.6
2024-12-12,12_DEC_24,0,2024-12-12T09:50:00+05:30,support,CE,24550,24640.45,97.65,3,195,HAMMER,0.15,2024-12-12T11:02:00+05:30,67.05,SL,72,-6046.5,-31.42
2024-12-12,12_DEC_24,0,2024-12-12T11:39:00+05:30,resistance,PE,24700,24597.9,124.6,2,130,SHOOTING_STAR,1.14,2024-12-12T15:25:00+05:30,150.25,EOD,226,3261.5,20.5
2024-12-13,19_DEC_24,6,2024-12-13T12:04:00+05:30,resistance,PE,24650,24542.4,237.0,1,65,BEAR_PIN,4.55,2024-12-13T13:00:00+05:30,164.35,BREAK_SR,56,-4788.75,-30.69
2024-12-18,19_DEC_24,1,2024-12-18T09:46:00+05:30,resistance,PE,24450,24360.75,150.6,2,130,BEAR_PIN,0.75,2024-12-18T10:00:00+05:30,227.35,TP,14,9904.5,50.88
2025-08-20,02_SEP_25,13,2025-08-20T09:57:00+05:30,support,CE,24850,24963.9,293.0,1,65,BULL_PIN,-0.67,2025-08-20T15:25:00+05:30,356.05,EOD,328,4031.75,21.48
2025-08-21,02_SEP_25,12,2025-08-21T09:46:00+05:30,support,CE,24950,25074.5,286.05,1,65,BULL_ENGULF,-0.93,2025-08-21T15:25:00+05:30,290.2,EOD,339,203.25,1.42
2025-08-25,02_SEP_25,8,2025-08-25T09:47:00+05:30,resistance,PE,25050,24954.85,165.95,1,65,BEAR_ENGULF,0.5,2025-08-25T13:06:00+05:30,135.65,BREAK_SR,199,-2036.0,-18.31
2025-08-25,02_SEP_25,8,2025-08-25T14:30:00+05:30,resistance,PE,25100,24981.75,175.3,1,65,BEAR_PIN,0.25,2025-08-25T15:25:00+05:30,172.4,EOD,55,-255.0,-1.71
2025-08-28,02_SEP_25,5,2025-08-28T10:49:00+05:30,support,CE,24550,24641.65,196.8,1,65,BULL_ENGULF,0.41,2025-08-28T12:23:00+05:30,149.0,BREAK_SR,94,-3173.5,-24.33
2025-08-29,02_SEP_25,4,2025-08-29T09:57:00+05:30,support,CE,24400,24504.4,186.85,1,65,BULL_ENGULF,-1.24,2025-08-29T13:00:00+05:30,185.5,BE_STOP,183,-154.25,-0.78
2025-08-29,02_SEP_25,4,2025-08-29T13:46:00+05:30,support,CE,24400,24507.25,173.05,1,65,HAMMER,-3.47,2025-08-29T15:09:00+05:30,117.7,SL,83,-3664.25,-32.03
2025-09-02,02_SEP_25,0,2025-09-02T10:12:00+05:30,resistance,PE,24850,24735.45,113.3,2,130,BEAR_ENGULF,0.0,2025-09-02T11:10:00+05:30,103.2,BREAK_SR,58,-1386.0,-9.0
2025-09-02,02_SEP_25,0,2025-09-02T12:02:00+05:30,resistance,PE,24850,24730.5,114.7,2,130,BEAR_ENGULF,-0.45,2025-09-02T12:33:00+05:30,95.85,BREAK_SR,31,-2523.5,-16.51
2025-09-02,02_SEP_25,0,2025-09-02T13:06:00+05:30,resistance,PE,24850,24735.9,104.5,2,130,BEAR_PIN,-0.36,2025-09-02T13:40:00+05:30,165.0,TP,34,7792.0,57.77
2025-09-03,09_SEP_25,6,2025-09-03T09:47:00+05:30,support,CE,24450,24566.95,211.55,1,65,HAMMER,-2.01,2025-09-03T15:10:00+05:30,328.25,TP,323,7519.0,55.1
2025-09-04,09_SEP_25,5,2025-09-04T10:57:00+05:30,resistance,PE,24900,24822.1,132.55,2,130,BEAR_ENGULF,-0.18,2025-09-04T10:59:00+05:30,126.65,BREAK_SR,2,-840.0,-4.52
2025-09-04,09_SEP_25,5,2025-09-04T11:44:00+05:30,resistance,PE,24900,24816.15,133.65,2,130,SHOOTING_STAR,0.36,2025-09-04T12:06:00+05:30,123.1,BREAK_SR,22,-1444.5,-7.97
2025-09-04,09_SEP_25,5,2025-09-04T14:07:00+05:30,resistance,PE,24850,24774.8,125.4,2,130,BEAR_ENGULF,-0.36,2025-09-04T15:25:00+05:30,143.85,EOD,78,2325.5,14.63
2025-09-08,09_SEP_25,1,2025-09-08T09:46:00+05:30,resistance,PE,24950,24827.8,133.95,2,130,BEAR_ENGULF,0.0,2025-09-08T11:17:00+05:30,133.1,BE_STOP,91,-183.5,-0.71
2025-09-08,09_SEP_25,1,2025-09-08T11:50:00+05:30,resistance,PE,24900,24818.95,92.9,3,195,BEAR_ENGULF,-0.09,2025-09-08T12:40:00+05:30,64.85,SL,50,-5549.25,-30.29
2025-09-09,09_SEP_25,0,2025-09-09T09:59:00+05:30,resistance,PE,24950,24847.25,107.85,2,130,BEAR_ENGULF,0.37,2025-09-09T11:21:00+05:30,103.6,BE_STOP,82,-625.5,-4.03
2025-09-09,09_SEP_25,0,2025-09-09T11:54:00+05:30,resistance,PE,24950,24838.0,114.95,2,130,SHOOTING_STAR,1.48,2025-09-09T14:14:00+05:30,79.8,SL,140,-4642.5,-30.65
2025-09-10,16_SEP_25,6,2025-09-10T13:34:00+05:30,resistance,PE,25050,24955.05,138.8,2,130,BEAR_ENGULF,0.09,2025-09-10T13:42:00+05:30,132.25,BREAK_SR,8,-924.5,-4.79
2025-09-10,16_SEP_25,6,2025-09-10T14:24:00+05:30,resistance,PE,25050,24946.9,137.5,2,130,BEAR_PIN,-0.38,2025-09-10T15:05:00+05:30,128.6,BREAK_SR,41,-1230.0,-6.54
2025-09-11,16_SEP_25,5,2025-09-11T09:45:00+05:30,resistance,PE,25100,24977.4,145.7,2,130,BEAR_PIN,0.09,2025-09-11T15:25:00+05:30,116.9,EOD,340,-3817.0,-19.83
2025-09-12,16_SEP_25,4,2025-09-12T09:58:00+05:30,resistance,PE,25150,25050.0,117.0,2,130,BEAR_ENGULF,-0.2,2025-09-12T11:08:00+05:30,92.0,BREAK_SR,70,-3323.0,-21.44
2025-09-15,16_SEP_25,1,2025-09-15T09:57:00+05:30,support,CE,25000,25106.65,140.0,2,130,BULL_PIN,0.38,2025-09-15T15:25:00+05:30,121.5,EOD,328,-2478.0,-13.28
2025-09-16,16_SEP_25,0,2025-09-16T10:59:00+05:30,resistance,PE,25250,25153.8,98.0,3,195,BEAR_ENGULF,0.87,2025-09-16T11:01:00+05:30,95.7,BREAK_SR,2,-528.0,-2.45
2025-09-17,23_SEP_25,6,2025-09-17T10:45:00+05:30,resistance,PE,25400,25308.5,123.2,2,130,BEAR_ENGULF,-0.49,2025-09-17T15:25:00+05:30,114.55,EOD,280,-1197.5,-7.1
2025-09-18,23_SEP_25,5,2025-09-18T10:13:00+05:30,resistance,PE,25500,25406.55,112.05,2,130,BEAR_ENGULF,1.21,2025-09-18T10:25:00+05:30,108.15,BREAK_SR,12,-580.0,-3.57
2025-09-18,23_SEP_25,5,2025-09-18T12:48:00+05:30,resistance,PE,25500,25376.65,130.95,2,130,SHOOTING_STAR,1.21,2025-09-18T15:04:00+05:30,100.35,BREAK_SR,136,-4051.0,-23.44
2025-09-22,23_SEP_25,1,2025-09-22T09:47:00+05:30,resistance,PE,25400,25314.15,98.7,3,195,SHOOTING_STAR,0.19,2025-09-22T11:57:00+05:30,98.3,BE_STOP,130,-157.5,-0.51
2025-09-22,23_SEP_25,1,2025-09-22T13:07:00+05:30,support,CE,25200,25310.75,145.2,2,130,HAMMER,-0.48,2025-09-22T14:28:00+05:30,108.2,BREAK_SR,81,-4883.0,-25.54
2025-09-23,23_SEP_25,0,2025-09-23T12:42:00+05:30,resistance,PE,25300,25201.4,93.9,3,195,BEAR_PIN,2.91,2025-09-23T13:00:00+05:30,91.7,BE_STOP,18,-508.5,-2.45
2025-09-23,23_SEP_25,0,2025-09-23T13:57:00+05:30,resistance,PE,25300,25207.95,82.55,3,195,BEAR_ENGULF,3.79,2025-09-23T14:06:00+05:30,44.95,SL,9,-7411.5,-45.64
2025-09-24,30_SEP_25,6,2025-09-24T10:07:00+05:30,support,CE,25000,25104.4,204.0,1,65,BULL_ENGULF,-0.47,2025-09-24T10:45:00+05:30,185.9,BREAK_SR,38,-1243.0,-8.92
2025-09-24,30_SEP_25,6,2025-09-24T11:50:00+05:30,support,CE,25000,25079.85,185.9,1,65,BULL_ENGULF,-0.28,2025-09-24T11:53:00+05:30,183.0,BREAK_SR,3,-255.0,-1.61
2025-09-24,30_SEP_25,6,2025-09-24T12:29:00+05:30,support,CE,25000,25096.7,203.0,1,65,HAMMER,-0.19,2025-09-24T14:41:00+05:30,188.4,BREAK_SR,132,-1015.5,-7.24
2025-09-25,30_SEP_25,5,2025-09-25T09:45:00+05:30,resistance,PE,25150,25039.55,137.0,2,130,BEAR_ENGULF,-0.47,2025-09-25T15:01:00+05:30,206.5,TP,316,8962.0,50.64
2025-09-26,30_SEP_25,4,2025-09-26T09:53:00+05:30,support,CE,24700,24809.0,195.35,1,65,BULL_PIN,-1.72,2025-09-26T10:08:00+05:30,177.25,BREAK_SR,15,-1243.0,-9.31
2025-09-26,30_SEP_25,4,2025-09-26T10:39:00+05:30,support,CE,24700,24795.55,184.05,1,65,BULL_ENGULF,-1.45,2025-09-26T10:57:00+05:30,174.0,BREAK_SR,18,-719.75,-5.51
2025-09-29,30_SEP_25,1,2025-09-29T11:42:00+05:30,support,CE,24550,24668.0,198.6,1,65,BULL_PIN,-0.87,2025-09-29T12:40:00+05:30,136.95,SL,58,-4073.75,-31.08
2025-09-29,30_SEP_25,1,2025-09-29T13:10:00+05:30,support,CE,24600,24675.75,139.85,2,130,HAMMER,-0.52,2025-09-29T14:45:00+05:30,137.65,BE_STOP,95,-359.0,-1.64
2025-09-30,30_SEP_25,0,2025-09-30T10:03:00+05:30,resistance,PE,24750,24657.0,109.3,2,130,SHOOTING_STAR,2.75,2025-09-30T11:01:00+05:30,104.65,BE_STOP,58,-677.5,-4.34
2025-09-30,30_SEP_25,0,2025-09-30T12:25:00+05:30,resistance,PE,24750,24667.45,91.6,3,195,BEAR_PIN,1.87,2025-09-30T14:15:00+05:30,144.15,TP,110,10167.75,57.23
2025-10-01,07_OCT_25,6,2025-10-01T10:08:00+05:30,support,CE,24550,24653.1,192.7,1,65,BULL_PIN,-2.51,2025-10-01T11:44:00+05:30,298.55,TP,96,6813.75,54.86
2025-10-03,07_OCT_25,4,2025-10-03T09:47:00+05:30,support,CE,24700,24790.95,162.8,1,65,BULL_PIN,-1.23,2025-10-03T12:32:00+05:30,161.8,BE_STOP,165,-131.5,-0.68
2025-10-03,07_OCT_25,4,2025-10-03T13:04:00+05:30,support,CE,24700,24824.2,179.35,1,65,HAMMER,-3.12,2025-10-03T15:25:00+05:30,234.65,EOD,141,3528.0,30.77
2025-10-07,07_OCT_25,0,2025-10-07T10:16:00+05:30,resistance,PE,25300,25181.2,113.65,2,130,BEAR_PIN,1.17,2025-10-07T11:23:00+05:30,175.95,TP,67,8026.0,54.71
2025-10-07,07_OCT_25,0,2025-10-07T12:34:00+05:30,resistance,PE,25250,25156.3,88.65,3,195,BEAR_PIN,0.0,2025-10-07T13:09:00+05:30,56.8,SL,35,-6290.25,-36.02
2025-10-08,14_OCT_25,6,2025-10-08T09:45:00+05:30,resistance,PE,25250,25171.05,127.5,2,130,SHOOTING_STAR,0.3,2025-10-08T11:01:00+05:30,196.8,TP,76,8936.0,54.25
2025-10-08,14_OCT_25,6,2025-10-08T13:24:00+05:30,resistance,PE,25200,25100.05,144.0,2,130,SHOOTING_STAR,1.38,2025-10-08T15:25:00+05:30,184.95,EOD,121,5250.5,28.36
2025-10-09,14_OCT_25,5,2025-10-09T09:45:00+05:30,resistance,PE,25150,25062.5,134.5,2,130,BEAR_ENGULF,0.39,2025-10-09T11:01:00+05:30,86.35,SL,76,-6332.5,-35.86
