expiry,entry_ts,direction,atm_strike,entry_spot,entry_premium,qty,lots,exit_ts,exit_premium,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held,ce_oi_above,pe_oi_above,oi_ratio
04_NOV_25,2025-11-04T14:50:00+05:30,PE,25600,25592.2,15.55,1235,19,2025-11-04T15:25:00+05:30,2.25,25600.3,TIME_EXIT,-16549.0,-16609.0,-85.9,35,45065100,15398925,2.93
11_NOV_25,2025-11-11T15:00:00+05:30,PE,25700,25691.3,12.05,1625,25,2025-11-11T15:25:00+05:30,5.4,25708.65,TIME_EXIT,-10968.75,-11028.75,-55.79,25,22423125,3341400,6.71
18_NOV_25,2025-11-18T14:50:00+05:30,PE,25950,25951.35,13.7,1430,22,2025-11-18T15:25:00+05:30,39.4,25894.05,TIME_EXIT,36608.0,36548.0,186.18,35,54685575,16505475,3.31
02_DEC_25,2025-12-02T14:50:00+05:30,PE,26000,26018.05,6.4,3120,48,2025-12-02T15:10:00+05:30,0.15,26030.5,ADVERSE_SPOT,-19812.0,-19872.0,-98.45,20,47221800,20851500,2.26
09_DEC_25,2025-12-09T14:50:00+05:30,PE,25800,25823.4,7.5,2665,41,2025-12-09T14:59:00+05:30,1.2,25831.45,ADVERSE_SPOT,-17056.0,-17116.0,-84.77,9,40857150,20663100,1.98
16_DEC_25,2025-12-16T15:00:00+05:30,PE,25900,25884.1,18.85,1040,16,2025-12-16T15:25:00+05:30,38.65,25854.2,TIME_EXIT,20488.0,20428.0,104.23,25,24122850,6341175,3.8
23_DEC_25,2025-12-23T15:00:00+05:30,PE,26200,26204.2,8.15,2405,37,2025-12-23T15:25:00+05:30,22.4,26170.85,TIME_EXIT,34030.75,33970.75,172.56,25,19870125,5278200,3.76
30_DEC_25,2025-12-30T14:50:00+05:30,PE,25950,25951.85,8.85,2210,34,2025-12-30T15:25:00+05:30,11.4,25948.55,TIME_EXIT,5414.5,5354.5,27.53,35,42031125,15070025,2.79
13_JAN_26,2026-01-13T14:50:00+05:30,PE,25700,25698.45,12.8,1560,24,2026-01-13T15:00:00+05:30,0.7,25754.0,ADVERSE_SPOT,-19032.0,-19092.0,-94.94,10,30937920,7290465,4.24
20_JAN_26,2026-01-20T14:50:00+05:30,PE,25350,25348.75,15.7,1235,19,2026-01-20T15:25:00+05:30,121.0,25185.6,TIME_EXIT,129922.0,129862.0,667.94,35,46666490,15518620,3.01
27_JAN_26,2026-01-27T14:50:00+05:30,PE,25100,25122.3,11.1,1755,27,2026-01-27T14:51:00+05:30,9.15,25132.25,ADVERSE_SPOT,-3597.75,-3657.75,-18.39,1,20043400,7149740,2.8
03_FEB_26,2026-02-03T15:00:00+05:30,PE,25750,25742.25,18.85,1040,16,2026-02-03T15:25:00+05:30,22.9,25719.95,TIME_EXIT,4108.0,4048.0,20.9,25,40625585,18097235,2.24
10_FEB_26,2026-02-10T15:00:00+05:30,PE,25950,25943.0,14.3,1365,21,2026-02-10T15:25:00+05:30,16.1,25910.9,TIME_EXIT,2320.5,2260.5,11.85,25,43400955,10009155,4.34
17_FEB_26,2026-02-17T14:50:00+05:30,PE,25700,25708.05,9.2,2145,33,2026-02-17T15:00:00+05:30,1.5,25730.7,ADVERSE_SPOT,-16731.0,-16791.0,-84.32,10,43825860,12888005,3.4
24_FEB_26,2026-02-24T14:50:00+05:30,PE,25400,25409.7,12.0,1625,25,2026-02-24T15:18:00+05:30,0.15,25430.05,ADVERSE_SPOT,-19418.75,-19478.75,-99.17,28,28590640,8892455,3.22
10_MAR_26,2026-03-10T14:50:00+05:30,PE,24250,24261.45,15.35,1300,20,2026-03-10T15:24:00+05:30,0.1,24291.35,ADVERSE_SPOT,-19955.0,-20015.0,-99.68,34,30784585,9168900,3.36
17_MAR_26,2026-03-17T14:50:00+05:30,PE,23600,23611.85,18.75,1040,16,2026-03-17T14:56:00+05:30,10.45,23631.4,ADVERSE_SPOT,-8736.0,-8796.0,-44.68,6,22491560,3933150,5.72
30_MAR_26,2026-03-30T14:50:00+05:30,PE,22350,22371.7,18.75,1040,16,2026-03-30T15:25:00+05:30,19.8,22370.5,TIME_EXIT,988.0,928.0,5.05,35,22202115,14361425,1.55
07_APR_26,2026-04-07T14:50:00+05:30,PE,23050,23056.8,18.05,1105,17,2026-04-07T14:55:00+05:30,6.65,23085.9,ADVERSE_SPOT,-12707.5,-12767.5,-63.54,5,29204825,6191835,4.72
21_APR_26,2026-04-21T14:50:00+05:30,PE,24550,24558.75,7.15,2795,43,2026-04-21T15:00:00+05:30,0.8,24592.8,ADVERSE_SPOT,-18027.75,-18087.75,-89.58,10,41795975,12250810,3.41
