expiry,entry_ts,atm_strike,entry_spot,ce_entry,pe_entry,combined_entry,lots,qty,exit_ts,ce_exit,pe_exit,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held
17_JUN_25,2025-06-17T15:00:00+05:30,81600,81635.8,12.15,22.9,35.05,28,560,2025-06-17T15:16:00+05:30,1.7,12.9,81635.39,SL,-11564.0,-11684.0,-58.75,16
01_JUL_25,2025-07-01T14:50:00+05:30,83700,83663.0,17.05,31.65,48.7,20,400,2025-07-01T15:02:00+05:30,6.5,17.75,83653.74,SL,-9860.0,-9980.0,-50.51,12
08_JUL_25,2025-07-08T14:50:00+05:30,83500,83490.21,14.2,26.35,40.55,24,480,2025-07-08T14:59:00+05:30,54.5,12.1,83536.36,TP,12408.0,12288.0,63.59,9
15_JUL_25,2025-07-15T15:00:00+05:30,82500,82488.54,20.0,34.2,54.2,18,360,2025-07-15T15:25:00+05:30,73.45,0.2,82637.4,TIME_EXIT,6930.0,6810.0,35.45,25
22_JUL_25,2025-07-22T15:00:00+05:30,82200,82184.5,20.3,18.1,38.4,26,520,2025-07-22T15:18:00+05:30,1.3,15.45,82204.33,SL,-11362.0,-11482.0,-56.75,18
29_JUL_25,2025-07-29T15:00:00+05:30,81200,81216.73,27.7,15.8,43.5,22,440,2025-07-29T15:03:00+05:30,75.7,3.65,81275.64,TP,15686.0,15566.0,81.77,3
05_AUG_25,2025-08-05T14:50:00+05:30,80600,80593.56,46.45,36.15,82.6,12,240,2025-08-05T15:09:00+05:30,134.85,1.0,80773.47,TP,12732.0,12612.0,64.15,19
26_AUG_25,2025-08-26T15:00:00+05:30,80900,80907.93,32.3,37.2,69.5,14,280,2025-08-26T15:11:00+05:30,1.35,102.9,80762.09,TP,9674.0,9554.0,49.64,11
11_SEP_25,2025-09-11T15:00:00+05:30,81600,81559.98,10.55,39.5,50.05,19,380,2025-09-11T15:25:00+05:30,0.05,51.9,81523.78,TIME_EXIT,646.0,526.0,3.39,25
01_OCT_25,2025-10-01T15:00:00+05:30,81000,80955.63,19.6,39.4,59.0,16,320,2025-10-01T15:17:00+05:30,0.7,28.4,80966.83,SL,-9632.0,-9752.0,-50.93,17
16_OCT_25,2025-10-16T15:00:00+05:30,83600,83598.62,41.2,28.55,69.75,14,280,2025-10-16T15:05:00+05:30,2.8,124.4,83447.37,TP,16030.0,15910.0,81.96,5
23_OCT_25,2025-10-23T15:00:00+05:30,84700,84721.98,46.8,23.95,70.75,14,280,2025-10-23T15:08:00+05:30,1.8,133.45,84518.4,TP,18004.0,17884.0,90.76,8
06_NOV_25,2025-11-06T14:50:00+05:30,83400,83382.01,42.55,34.8,77.35,12,240,2025-11-06T15:10:00+05:30,0.65,115.4,83267.87,TP,9240.0,9120.0,49.71,20
27_NOV_25,2025-11-27T15:00:00+05:30,85600,85630.89,36.45,33.55,70.0,14,280,2025-11-27T15:01:00+05:30,115.65,9.5,85668.02,TP,15386.0,15266.0,78.39,1
04_DEC_25,2025-12-04T15:00:00+05:30,85300,85304.56,43.0,22.0,65.0,15,300,2025-12-04T15:08:00+05:30,23.15,7.9,85317.87,SL,-10245.0,-10365.0,-52.46,8
11_DEC_25,2025-12-11T15:00:00+05:30,84800,84808.81,40.6,21.55,62.15,16,320,2025-12-11T15:15:00+05:30,25.2,2.85,84828.43,SL,-10976.0,-11096.0,-55.1,15
18_DEC_25,2025-12-18T15:00:00+05:30,84400,84420.09,45.05,16.75,61.8,16,320,2025-12-18T15:04:00+05:30,92.25,1.1,84534.6,TP,10032.0,9912.0,50.65,4
24_DEC_25,2025-12-24T14:50:00+05:30,85400,85377.76,37.1,39.79,76.89,13,260,2025-12-24T15:03:00+05:30,15.5,14.4,85384.59,SL,-12269.4,-12389.4,-61.29,13
08_JAN_26,2026-01-08T15:00:00+05:30,84200,84243.92,48.5,14.5,63.0,15,300,2026-01-08T15:10:00+05:30,8.05,21.0,84191.13,SL,-10245.0,-10365.0,-54.12,10
14_JAN_26,2026-01-14T15:00:00+05:30,83400,83410.64,46.85,21.95,68.8,14,280,2026-01-14T15:07:00+05:30,16.5,9.95,83364.23,SL,-11914.0,-12034.0,-61.76,7
23_APR_26,2026-04-23T15:00:00+05:30,77700,77716.22,45.5,25.45,70.95,14,280,2026-04-23T15:07:00+05:30,18.3,15.25,77684.09,SL,-10528.0,-10648.0,-52.92,7
