TP_Pct,SL_Pct,Cooldown_Mins,Trades,Win_Rate,Net_PnL,Max_DD,Gross_PnL,Costs,Avg_Win,Avg_Loss,TP_Hits,SL_Hits,EOD_Hits
30.0,20.0,60,18,50.0,11801.425000000017,-7304.699999999997,15401.425000000017,-3600,4692.458333333335,-2981.188888888888,9,8,1
40.0,20.0,15,22,40.909090909090914,11189.600000000002,-14346.149999999994,15589.600000000002,-4400,6060.888888888888,-2996.799999999999,8,11,3
40.0,20.0,60,18,44.44444444444444,10609.0,-10766.599999999995,14209.0,-3600,5590.162499999999,-3051.229999999999,6,9,3
40.0,25.0,30,20,45.0,10385.31249999999,-12367.062499999998,14385.31249999999,-4000,6060.888888888888,-3651.153409090909,8,9,3
30.0,30.0,60,18,55.55555555555556,10117.600000000006,-10957.050000000003,13717.600000000006,-3600,4563.097500000002,-3989.171875000001,10,5,3
40.0,15.0,15,22,36.36363636363637,10101.337499999983,-19126.7375,14501.337499999983,-4400,5914.999999999998,-2344.190178571429,7,13,2
30.0,15.0,60,18,44.44444444444444,9723.862500000003,-10267.237500000007,13323.862500000003,-3600,4601.390625000001,-2348.7262500000006,8,10,0
30.0,20.0,45,19,47.368421052631575,8650.425000000017,-8093.799999999997,12450.425000000017,-3800,4692.458333333335,-2978.169999999999,9,9,1
30.0,25.0,30,20,50.0,8523.38750000001,-10263.5,12523.38750000001,-4000,4808.407500000001,-3556.06875,10,8,2
30.0,20.0,15,22,45.45454545454545,8407.27500000002,-9865.049999999997,12807.27500000002,-4400,4808.407500000001,-2939.733333333332,10,10,2
40.0,30.0,60,18,50.0,8217.324999999986,-17241.900000000005,11817.324999999986,-3600,5472.566666666667,-4159.530555555556,7,6,5
30.0,15.0,15,22,40.909090909090914,8205.6125,-13072.312500000004,12605.6125,-4400,4740.341666666668,-2312.1125,9,12,1
30.0,30.0,45,19,52.63157894736842,8058.600000000002,-10957.050000000003,11858.600000000002,-3800,4563.097500000002,-3752.4861111111113,10,5,4
40.0,15.0,60,18,38.88888888888889,7644.837499999987,-15379.162499999999,11244.837499999987,-3600,5356.1857142857125,-2386.2238636363636,5,11,2
40.0,20.0,45,19,42.10526315789473,7458.0,-10766.599999999995,11258.0,-3800,5590.162499999999,-3042.118181818181,6,10,3
30.0,15.0,45,19,42.10526315789473,7310.612499999999,-10267.237500000003,11110.6125,-3800,4601.390625000001,-2336.4102272727278,8,11,0
30.0,25.0,60,18,50.0,6906.437500000009,-9130.874999999998,10506.43750000001,-3600,4692.458333333335,-3525.0763888888887,9,7,2
40.0,30.0,45,19,47.368421052631575,6158.324999999986,-17241.900000000005,9958.324999999986,-3800,5472.566666666667,-3929.4775,7,6,6
40.0,15.0,45,19,36.84210526315789,5231.587499999987,-15379.162500000002,9031.587499999987,-3800,5356.1857142857125,-2371.8093750000003,5,12,2
40.0,30.0,15,22,45.45454545454545,5046.124999999982,-14789.45,9446.124999999982,-4400,5907.98,-4136.139583333334,9,8,5
30.0,25.0,45,19,47.368421052631575,4847.437500000009,-9130.874999999998,8647.43750000001,-3800,4692.458333333335,-3358.46875,9,7,3
40.0,25.0,60,18,44.44444444444444,4793.612499999997,-13935.837499999996,8393.612499999997,-3600,5590.162499999999,-3632.76875,6,8,4
40.0,25.0,15,22,40.909090909090914,3498.3124999999945,-17984.687499999993,7898.3124999999945,-4400,6060.888888888888,-3588.4374999999995,8,10,4
30.0,30.0,15,22,50.0,2971.6500000000024,-11398.725000000002,7371.650000000002,-4400,4680.265909090911,-4010.11590909091,11,7,4
40.0,25.0,45,19,42.10526315789473,2734.612499999994,-13935.8375,6534.612499999994,-3800,5590.162499999999,-3471.5170454545455,6,8,5
30.0,25.0,15,22,45.45454545454545,1636.3875000000135,-12331.312499999996,6036.3875000000135,-4400,4808.407500000001,-3503.9739583333335,10,9,3
20.0,15.0,30,20,45.0,-1346.2125000000115,-10267.237500000003,2653.7874999999885,-4000,3160.227777777777,-2344.3875000000003,9,11,0
20.0,20.0,30,20,50.0,-1842.6499999999978,-8210.799999999997,2157.350000000002,-4000,3205.604999999999,-2989.869999999999,10,9,1
20.0,20.0,60,18,50.0,-2275.949999999999,-9437.999999999993,1324.050000000001,-3600,3128.3055555555543,-2981.188888888888,9,8,1
20.0,15.0,60,18,44.44444444444444,-2546.5125000000107,-10633.837500000005,1053.4874999999893,-3600,3067.593749999999,-2348.7262500000006,8,10,0
20.0,30.0,30,20,55.00000000000001,-4035.425000000013,-10957.050000000003,-35.425000000012915,-4000,3120.177272727272,-3817.4861111111113,11,5,4
20.0,15.0,45,19,42.10526315789473,-4959.762500000011,-10633.837500000005,-1159.7625000000107,-3800,3067.593749999999,-2336.4102272727278,8,11,0
20.0,30.0,60,18,55.55555555555556,-5092.725000000012,-11818.950000000004,-1492.7250000000122,-3600,3042.064999999999,-3989.171875000001,10,5,3
20.0,20.0,45,19,47.368421052631575,-5426.949999999997,-9437.999999999995,-1626.949999999997,-3800,3128.3055555555543,-2978.169999999999,9,9,1
20.0,15.0,15,22,40.909090909090914,-6015.412500000011,-13072.312500000004,-1615.4125000000117,-4400,3160.227777777777,-2312.1125,9,12,1
20.0,30.0,45,19,52.63157894736842,-7151.725000000011,-11818.950000000004,-3351.7250000000113,-3800,3042.064999999999,-3752.4861111111113,10,5,4
20.0,25.0,60,18,50.0,-7170.937500000008,-13047.287500000002,-3570.937500000008,-3600,3128.3055555555543,-3525.0763888888887,9,7,2
20.0,25.0,30,20,50.0,-7504.637500000009,-10378.3875,-3504.637500000009,-4000,3205.604999999999,-3556.06875,10,8,2
20.0,20.0,15,22,45.45454545454545,-7620.749999999996,-11451.699999999993,-3220.7499999999964,-4400,3205.604999999999,-2939.733333333332,10,10,2
20.0,25.0,45,19,47.368421052631575,-9229.937500000007,-13047.287500000002,-5429.937500000006,-3800,3128.3055555555543,-3358.46875,9,7,3
20.0,30.0,15,22,50.0,-14189.325000000015,-15611.375000000007,-9789.325000000015,-4400,3120.177272727272,-4010.11590909091,11,7,4
20.0,25.0,15,22,45.45454545454545,-14391.637500000008,-15996.0125,-9991.637500000008,-4400,3205.604999999999,-3503.9739583333335,10,9,3
