trade_date,expiry,days_to_expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,net_pnl,return_pct
2024-12-11,12_DEC_24,1,2024-12-11T11:37:00+05:30,PE,24700,24688.95,33.55,85.95,3,195,2024-12-11T12:39:00+05:30,117.6,24632.5,TP,62,6092.25,36.69
2024-12-11,12_DEC_24,1,2024-12-11T12:40:00+05:30,CE,24650,24628.5,33.5,64.0,4,260,2024-12-11T15:25:00+05:30,59.1,24641.05,EOD,165,-1360.0,-7.81
2024-12-12,12_DEC_24,0,2024-12-12T12:06:00+05:30,CE,24550,24560.4,31.85,47.25,6,390,2024-12-12T13:19:00+05:30,35.4,24566.2,SL,73,-4720.5,-25.26
2024-12-13,19_DEC_24,6,2024-12-13T09:31:00+05:30,CE,24400,24400.4,34.4,181.15,1,65,2024-12-13T10:15:00+05:30,127.75,24315.7,SL,44,-3537.5,-29.53
2024-12-13,19_DEC_24,6,2024-12-13T11:12:00+05:30,PE,24300,24315.0,72.15,183.45,1,65,2024-12-13T11:54:00+05:30,132.65,24417.6,SL,42,-3368.5,-27.74
2024-12-13,19_DEC_24,6,2024-12-13T11:59:00+05:30,PE,24550,24545.3,127.7,178.3,1,65,2024-12-13T13:00:00+05:30,125.05,24670.35,SL,61,-3527.75,-29.91
2024-12-13,19_DEC_24,6,2024-12-13T13:13:00+05:30,CE,24650,24632.5,35.45,172.4,1,65,2024-12-13T13:52:00+05:30,231.65,24754.95,TP,39,3784.75,34.3
2024-12-13,19_DEC_24,6,2024-12-13T13:58:00+05:30,PE,24750,24736.35,31.85,169.1,1,65,2024-12-13T15:22:00+05:30,126.5,24779.8,SL,84,-2835.5,-25.24
2024-12-16,19_DEC_24,3,2024-12-16T09:30:00+05:30,CE,24700,24694.95,40.5,154.25,1,65,2024-12-16T15:25:00+05:30,145.5,24663.4,EOD,355,-635.25,-5.74
2024-12-17,19_DEC_24,2,2024-12-17T09:30:00+05:30,CE,24600,24582.35,32.75,155.4,1,65,2024-12-17T10:04:00+05:30,116.4,24506.6,SL,34,-2601.5,-25.15
2024-12-17,19_DEC_24,2,2024-12-17T10:20:00+05:30,CE,24450,24456.25,63.45,161.15,1,65,2024-12-17T12:19:00+05:30,117.5,24364.25,SL,119,-2903.75,-27.14
2024-12-17,19_DEC_24,2,2024-12-17T12:26:00+05:30,PE,24400,24405.9,41.8,135.25,2,130,2024-12-17T15:25:00+05:30,135.4,24328.25,EOD,179,-53.5,0.04
2024-12-18,19_DEC_24,1,2024-12-18T09:30:00+05:30,PE,24300,24309.85,30.0,111.85,2,130,2024-12-18T09:40:00+05:30,77.34,24375.05,SL,10,-4559.3,-30.93
2024-12-18,19_DEC_24,1,2024-12-18T09:51:00+05:30,CE,24350,24354.9,33.4,104.25,2,130,2024-12-18T09:57:00+05:30,77.09,24283.95,SL,6,-3603.8,-26.14
2024-12-18,19_DEC_24,1,2024-12-18T10:31:00+05:30,PE,24300,24293.15,35.7,93.55,3,195,2024-12-18T10:58:00+05:30,128.6,24224.1,TP,27,6755.25,37.34
2025-08-19,02_SEP_25,14,2025-08-19T09:50:00+05:30,PE,24900,24908.05,31.75,164.05,1,65,2025-08-19T15:25:00+05:30,125.0,24989.25,EOD,335,-2604.75,-23.86
2025-08-20,02_SEP_25,13,2025-08-20T09:47:00+05:30,PE,25000,24979.95,32.55,173.5,1,65,2025-08-20T14:45:00+05:30,130.05,25077.75,SL,298,-2890.75,-25.09
2025-08-21,02_SEP_25,12,2025-08-21T09:49:00+05:30,PE,25100,25092.65,32.55,152.55,2,130,2025-08-21T15:25:00+05:30,144.0,25077.2,EOD,336,-1184.5,-5.67
2025-08-22,02_SEP_25,11,2025-08-22T10:17:00+05:30,CE,24950,24937.75,32.05,186.75,1,65,2025-08-22T15:25:00+05:30,156.1,24869.65,EOD,308,-2058.75,-16.46
2025-08-26,02_SEP_25,7,2025-08-26T09:37:00+05:30,CE,24750,24763.05,32.4,166.0,1,65,2025-08-26T15:25:00+05:30,134.8,24701.95,EOD,348,-2094.5,-18.85
2025-08-28,02_SEP_25,5,2025-08-28T09:40:00+05:30,PE,24550,24574.7,53.55,97.55,3,195,2025-08-28T10:48:00+05:30,67.95,24638.75,SL,68,-5851.5,-30.43
2025-08-28,02_SEP_25,5,2025-08-28T10:58:00+05:30,PE,24650,24668.05,30.5,95.05,3,195,2025-08-28T12:21:00+05:30,127.2,24604.0,TP,83,6189.75,33.7
2025-08-28,02_SEP_25,5,2025-08-28T14:11:00+05:30,PE,24600,24577.45,32.35,108.7,2,130,2025-08-28T15:08:00+05:30,142.5,24492.45,TP,57,4321.0,30.99
2025-08-29,02_SEP_25,4,2025-08-29T09:35:00+05:30,CE,24500,24487.85,32.85,119.7,2,130,2025-08-29T14:29:00+05:30,89.7,24474.0,SL,294,-3973.0,-25.14
2025-09-02,02_SEP_25,0,2025-09-02T09:31:00+05:30,PE,24650,24671.1,34.8,27.45,11,715,2025-09-02T09:43:00+05:30,20.55,24684.8,SL,12,-5065.0,-25.45
2025-09-02,02_SEP_25,0,2025-09-02T13:41:00+05:30,CE,24650,24661.0,38.85,33.35,9,585,2025-09-02T13:53:00+05:30,21.15,24644.9,SL,12,-7255.5,-36.83
2025-09-02,02_SEP_25,0,2025-09-02T13:58:00+05:30,CE,24600,24605.25,43.15,29.65,10,650,2025-09-02T14:02:00+05:30,19.8,24577.4,SL,4,-6527.5,-33.5
2025-09-02,02_SEP_25,0,2025-09-02T14:07:00+05:30,CE,24550,24544.35,33.05,37.25,8,520,2025-09-02T14:10:00+05:30,54.0,24587.3,TP,3,8598.0,44.64
2025-09-02,02_SEP_25,0,2025-09-02T14:10:00+05:30,PE,24600,24587.3,42.95,37.95,8,520,2025-09-02T14:11:00+05:30,49.4,24574.2,TP,1,5842.0,29.87
2025-09-02,02_SEP_25,0,2025-09-02T14:22:00+05:30,PE,24600,24602.1,39.9,28.7,10,650,2025-09-02T14:23:00+05:30,41.8,24579.5,TP,1,8390.0,45.22
2025-09-02,02_SEP_25,0,2025-09-02T14:24:00+05:30,CE,24550,24553.65,48.45,26.15,11,715,2025-09-02T14:28:00+05:30,19.15,24534.2,SL,4,-5136.5,-27.1
2025-09-03,09_SEP_25,6,2025-09-03T09:39:00+05:30,CE,24550,24552.65,39.05,138.3,2,130,2025-09-03T12:11:00+05:30,180.0,24621.05,TP,152,5348.0,30.07
2025-09-04,09_SEP_25,5,2025-09-04T09:30:00+05:30,PE,24900,24905.15,39.95,89.9,3,195,2025-09-04T10:12:00+05:30,122.35,24849.3,TP,42,6248.25,35.96
2025-09-04,09_SEP_25,5,2025-09-04T10:12:00+05:30,CE,24850,24849.3,38.15,116.7,2,130,2025-09-04T12:21:00+05:30,85.75,24775.55,SL,129,-4096.5,-26.6
2025-09-04,09_SEP_25,5,2025-09-04T12:46:00+05:30,PE,24850,24831.95,30.6,99.1,3,195,2025-09-04T13:48:00+05:30,131.15,24772.85,TP,62,6170.25,32.22
2025-09-04,09_SEP_25,5,2025-09-04T14:22:00+05:30,CE,24750,24726.8,37.8,109.85,2,130,2025-09-04T15:25:00+05:30,108.25,24747.0,EOD,63,-281.0,-1.55
2025-09-05,09_SEP_25,4,2025-09-05T10:10:00+05:30,CE,24750,24733.45,40.5,92.0,3,195,2025-09-05T10:17:00+05:30,66.65,24656.2,SL,7,-5022.75,-27.65
2025-09-05,09_SEP_25,4,2025-09-05T10:24:00+05:30,PE,24700,24675.3,36.9,108.75,2,130,2025-09-05T10:28:00+05:30,76.4,24732.25,SL,4,-4278.5,-29.83
2025-09-05,09_SEP_25,4,2025-09-05T10:32:00+05:30,CE,24700,24695.7,36.55,97.5,3,195,2025-09-05T12:33:00+05:30,72.0,24643.7,SL,121,-5052.0,-26.24
2025-09-05,09_SEP_25,4,2025-09-05T13:46:00+05:30,PE,24750,24733.0,33.0,77.2,3,195,2025-09-05T15:25:00+05:30,71.5,24742.9,EOD,99,-1191.0,-7.51
2025-09-08,09_SEP_25,1,2025-09-08T09:31:00+05:30,PE,24800,24813.25,35.9,51.65,5,325,2025-09-08T10:32:00+05:30,67.8,24777.0,TP,61,5156.25,31.04
2025-09-10,16_SEP_25,6,2025-09-10T11:19:00+05:30,CE,25000,24981.2,31.9,132.55,2,130,2025-09-10T15:25:00+05:30,119.8,24975.15,EOD,246,-1730.5,-9.69
2025-09-15,16_SEP_25,1,2025-09-15T13:42:00+05:30,CE,25050,25061.0,42.85,77.8,3,195,2025-09-15T15:25:00+05:30,80.8,25070.45,EOD,103,505.5,3.73
2025-09-18,23_SEP_25,5,2025-09-18T12:40:00+05:30,CE,25400,25380.15,31.3,103.75,2,130,2025-09-18T15:25:00+05:30,122.95,25430.65,EOD,165,2423.0,18.4
2025-09-19,23_SEP_25,4,2025-09-19T10:00:00+05:30,CE,25300,25299.6,32.9,92.95,3,195,2025-09-19T15:25:00+05:30,114.3,25335.95,EOD,325,4083.75,22.85
2025-09-22,23_SEP_25,1,2025-09-22T09:51:00+05:30,CE,25300,25293.5,34.95,69.8,4,260,2025-09-22T11:37:00+05:30,52.05,25270.6,SL,106,-4701.0,-25.55
