sl_pct,tp_pct,time_stop_min,trades,win_rate,winners,losers,net_pnl,avg_win,avg_loss,profit_factor,max_dd,return_over_dd
0.15,0.6,120,87,29.88505747126437,26,61,-18974.790562499933,2510.0828365384627,-1380.9335133196719,0.7747450276435981,26243.389312499974,-0.7230312493768501
0.2,0.2,30,87,36.7816091954023,32,55,-36186.815999999926,1014.1898437500006,-1248.0161999999993,0.4728096405391946,37366.94099999994,-0.9684179392688308
0.2,0.2,45,87,36.7816091954023,32,55,-30298.97849999993,1175.1686718750004,-1234.6250181818175,0.5537993236253291,32620.040999999943,-0.928845506356046
0.2,0.2,60,87,40.229885057471265,35,52,-35728.64324999993,1110.4043571428579,-1434.4768413461532,0.5210175072436543,37510.84949999993,-0.952488246100638
0.2,0.2,90,87,39.08045977011494,34,53,-34630.12199999992,1309.7812500000005,-1493.6355566037723,0.5625448755467616,40533.07574999992,-0.8543669918757643
0.2,0.2,120,87,40.229885057471265,35,52,-39458.59199999993,1382.297678571429,-1689.2117451923068,0.5507851048971433,45006.94574999993,-0.8767222779164033
0.2,0.25,30,87,34.48275862068966,30,57,-36994.823812499926,1090.0639062500006,-1222.7498421052624,0.469202960114018,38665.294124999935,-0.9567966479939454
0.2,0.25,45,87,34.48275862068966,30,57,-31136.905687499926,1262.204843750001,-1210.5798421052623,0.5487604499183675,33948.31349999994,-0.9171856412690422
0.2,0.25,60,87,37.93103448275862,33,54,-34246.895437499916,1255.2075852272737,-1401.2730694444438,0.5474102934037341,36519.44699999993,-0.9377714683768346
0.2,0.25,90,87,39.08045977011494,34,53,-30570.69074999991,1429.1762867647067,-1493.6355566037723,0.6138244812806982,36966.43762499994,-0.8269850359972294
0.2,0.25,120,87,37.93103448275862,33,54,-35912.96137499992,1665.015625000001,-1682.5643888888878,0.6047373612150693,43337.370749999944,-0.828683437723318
0.2,0.3,30,87,33.33333333333333,29,58,-38031.10537499991,1152.5475646551733,-1231.9824956896541,0.46776133942146075,40191.92099999994,-0.946237562892303
0.2,0.3,45,87,33.33333333333333,29,58,-29197.502249999914,1433.2342241379322,-1220.022323275861,0.5873803277179304,32857.562249999944,-0.8886082913835144
0.2,0.3,60,87,36.7816091954023,32,55,-31865.3501249999,1423.801230468751,-1407.7634454545446,0.5884464793119725,35704.283249999935,-0.892479759413738
0.2,0.3,90,87,37.93103448275862,33,54,-28241.0426249999,1596.3601704545465,-1498.535708333332,0.6510044652756449,38455.757624999926,-0.734377486471376
0.2,0.3,120,87,35.63218390804598,31,56,-35297.21324999991,1850.7111290322594,-1654.8081830357132,0.6191054734162619,43394.254499999915,-0.8134075272568626
0.2,0.35,30,87,33.33333333333333,29,58,-35133.543187499905,1252.4635021551737,-1231.9824956896541,0.5083122148801532,37784.704124999924,-0.9298350748300315
0.2,0.35,45,87,33.33333333333333,29,58,-25517.603812499914,1560.1272737068973,-1220.022323275861,0.6393847243375951,30638.72662499994,-0.8328545805711978
0.2,0.35,60,87,36.7816091954023,32,55,-28110.653249999898,1541.1355078125011,-1407.7634454545446,0.6369398651357879,33841.89449999992,-0.8306465599909001
0.2,0.35,90,87,37.93103448275862,33,54,-22993.1473124999,1755.3873011363648,-1498.535708333332,0.7158566045922748,34774.75106249993,-0.6612023554438909
0.2,0.35,120,87,34.48275862068966,30,57,-32726.917312499907,2045.2686562500014,-1650.6136315789463,0.6521557600795298,41194.441687499915,-0.7944498328382636
