ts,spot,atm_frozen_at_1450,ATM-2_K85200_CE_close,ATM-2_K85200_CE_OI,ATM-2_K85200_CE_OI_chg_vs_1430,ATM-2_K85200_PE_close,ATM-2_K85200_PE_OI,ATM-2_K85200_PE_OI_chg_vs_1430,ATM-1_K85300_CE_close,ATM-1_K85300_CE_OI,ATM-1_K85300_CE_OI_chg_vs_1430,ATM-1_K85300_PE_close,ATM-1_K85300_PE_OI,ATM-1_K85300_PE_OI_chg_vs_1430,ATM_K85400_CE_close,ATM_K85400_CE_OI,ATM_K85400_CE_OI_chg_vs_1430,ATM_K85400_PE_close,ATM_K85400_PE_OI,ATM_K85400_PE_OI_chg_vs_1430,ATM+1_K85500_CE_close,ATM+1_K85500_CE_OI,ATM+1_K85500_CE_OI_chg_vs_1430,ATM+1_K85500_PE_close,ATM+1_K85500_PE_OI,ATM+1_K85500_PE_OI_chg_vs_1430,ATM+2_K85600_CE_close,ATM+2_K85600_CE_OI,ATM+2_K85600_CE_OI_chg_vs_1430,ATM+2_K85600_PE_close,ATM+2_K85600_PE_OI,ATM+2_K85600_PE_OI_chg_vs_1430
14:49,85395.47,85400,202.0,576980,-118200,1.9,6008060,491580,108.25,1860640,-204700,8.05,9403140,542840,37.25,7146680,860320,38.2,8314260,1142300,8.15,13975340,1481240,109.05,4789100,-424260,2.04,8603280,-1417680,201.6,1774880,-46010
14:50,85377.76,85400,200.0,576980,-118200,2.35,6008060,491580,107.55,1860640,-204700,9.19,9403140,542840,37.1,7146680,860320,39.79,8314260,1142300,7.25,13975340,1481240,108.3,4789100,-424260,1.65,8603280,-1417680,202.65,1774880,-46010
14:51,85360.85,85400,186.0,617640,-77540,3.25,4503480,-1013000,96.05,2170080,104740,12.85,10231240,1370940,30.45,7883700,1597340,47.65,9585660,2413700,5.5,13398060,903960,121.9,4101160,-1112200,1.35,7992120,-2028840,216.75,1703860,-117030
14:52,85366.19,85400,193.35,617640,-77540,3.35,4503480,-1013000,102.1,2170080,104740,12.0,10231240,1370940,32.95,7883700,1597340,43.4,9585660,2413700,5.6,13398060,903960,115.55,4101160,-1112200,1.2,7992120,-2028840,211.15,1703860,-117030
14:53,85345.98,85400,194.0,735540,40360,3.25,4503480,-1013000,105.45,2170080,104740,13.2,11471480,2611180,33.4,9482580,3196220,42.0,9585660,2413700,4.8,13398060,903960,114.0,4101160,-1112200,0.95,7044240,-2976720,211.05,1703860,-117030
14:54,85417.65,85400,214.0,735540,40360,2.0,4503480,-1013000,118.1,2170080,104740,7.2,11471480,2611180,39.75,9482580,3196220,29.7,9585660,2413700,6.75,13398060,903960,96.0,4101160,-1112200,1.35,7044240,-2976720,189.95,1703860,-117030
14:55,85404.17,85400,210.75,735540,40360,1.9,4503480,-1013000,116.05,2170080,104740,6.6,11471480,2611180,38.7,9482580,3196220,29.7,9585660,2413700,6.55,13398060,903960,97.9,4101160,-1112200,1.45,7044240,-2976720,191.6,1703860,-117030
14:56,85396.52,85400,212.8,631620,-63560,1.75,4503480,-1013000,117.35,2170080,104740,6.05,11568260,2707960,41.5,8889260,2602900,29.65,9585660,2413700,7.75,13398060,903960,96.45,4101160,-1112200,1.65,6807780,-3213180,189.5,1703860,-117030
14:57,85403.44,85400,205.7,631620,-63560,1.65,4503480,-1013000,109.6,2170080,104740,5.35,11568260,2707960,33.2,8889260,2602900,29.5,9585660,2413700,4.59,13398060,903960,101.55,4101160,-1112200,1.05,6807780,-3213180,196.3,1703860,-117030
14:58,85418.96,85400,221.45,631620,-63560,1.1,4503480,-1013000,124.25,2170080,104740,3.65,11568260,2707960,45.35,8889260,2602900,24.7,9585660,2413700,7.55,13398060,903960,87.9,4101160,-1112200,1.5,6807780,-3213180,181.65,1703860,-117030
