ts,spot,atm_frozen_at_1450,ATM-2_K84600_CE_close,ATM-2_K84600_CE_OI,ATM-2_K84600_CE_OI_chg_vs_1430,ATM-2_K84600_PE_close,ATM-2_K84600_PE_OI,ATM-2_K84600_PE_OI_chg_vs_1430,ATM-1_K84700_CE_close,ATM-1_K84700_CE_OI,ATM-1_K84700_CE_OI_chg_vs_1430,ATM-1_K84700_PE_close,ATM-1_K84700_PE_OI,ATM-1_K84700_PE_OI_chg_vs_1430,ATM_K84800_CE_close,ATM_K84800_CE_OI,ATM_K84800_CE_OI_chg_vs_1430,ATM_K84800_PE_close,ATM_K84800_PE_OI,ATM_K84800_PE_OI_chg_vs_1430,ATM+1_K84900_CE_close,ATM+1_K84900_CE_OI,ATM+1_K84900_CE_OI_chg_vs_1430,ATM+1_K84900_PE_close,ATM+1_K84900_PE_OI,ATM+1_K84900_PE_OI_chg_vs_1430,ATM+2_K85000_CE_close,ATM+2_K85000_CE_OI,ATM+2_K85000_CE_OI_chg_vs_1430,ATM+2_K85000_PE_close,ATM+2_K85000_PE_OI,ATM+2_K85000_PE_OI_chg_vs_1430
14:45,84883.1,84800,326.95,528900,-288760,5.9,5168280,1010320,235.95,1986140,-584200,10.75,6746500,2259780,145.45,4424220,-725820,23.75,4735420,2127800,74.65,4999120,-284240,54.05,2171740,515600,32.3,7882840,-91120,110.65,1905060,9220
14:46,84833.52,84800,299.75,528900,-288760,6.55,5168280,1010320,205.7,1986140,-584200,12.9,6746500,2259780,119.75,4424220,-725820,30.15,4735420,2127800,55.95,4999120,-284240,64.4,2171740,515600,21.2,7882840,-91120,129.85,1905060,9220
14:47,84870.24,84800,329.7,528900,-288760,4.65,5168280,1010320,232.0,1986140,-584200,8.45,6746500,2259780,145.85,4424220,-725820,21.0,4735420,2127800,75.45,4999120,-284240,50.0,2171740,515600,30.4,7882840,-91120,105.75,1905060,9220
14:48,84877.5,84800,326.1,364320,-453340,3.8,4261480,103520,229.5,1255580,-1314760,7.55,6056720,1570000,141.15,2944840,-2205200,20.65,6506420,3898800,71.5,4790320,-493040,49.55,3173860,1517720,27.5,8399240,425280,105.7,2384660,488820
14:49,84875.72,84800,321.5,364320,-453340,3.7,4261480,103520,223.05,1255580,-1314760,6.75,6056720,1570000,136.55,2944840,-2205200,19.5,6506420,3898800,64.2,4790320,-493040,48.0,3173860,1517720,22.95,8399240,425280,107.55,2384660,488820
14:50,84847.91,84800,304.4,364320,-453340,4.1,4261480,103520,203.35,1255580,-1314760,7.6,6056720,1570000,120.55,2944840,-2205200,21.65,6506420,3898800,51.45,4790320,-493040,54.2,3173860,1517720,15.4,8399240,425280,118.6,2384660,488820
14:51,84821.78,84800,251.05,333380,-484280,5.1,3607160,-550800,156.7,1186140,-1384200,11.9,5755760,1269040,80.0,2807000,-2343040,35.15,7321380,4713760,28.85,4941740,-341620,84.3,3557880,1901740,9.1,9092300,1118340,162.3,2601810,705970
14:52,84794.92,84800,217.5,333380,-484280,6.0,3607160,-550800,128.15,1186140,-1384200,15.25,5755760,1269040,54.55,2807000,-2343040,44.05,7321380,4713760,17.0,4941740,-341620,104.15,3557880,1901740,5.4,9092300,1118340,192.35,2601810,705970
14:53,84816.93,84800,237.9,333380,-484280,4.6,3607160,-550800,138.25,1186140,-1384200,11.15,5755760,1269040,62.7,2807000,-2343040,31.9,7321380,4713760,20.35,4941740,-341620,87.15,3557880,1901740,6.15,9092300,1118340,173.8,2601810,705970
14:54,84808.71,84800,255.95,385760,-431900,3.65,3611980,-545980,160.8,1279580,-1290760,8.9,5679940,1193220,77.4,3415640,-1734400,26.9,6137900,3530280,24.75,6141280,857920,74.45,2621740,965600,7.4,8853020,879060,155.85,2099440,203600
14:55,84802.92,84800,239.65,385760,-431900,4.05,3611980,-545980,145.15,1279580,-1290760,10.4,5679940,1193220,68.15,3415640,-1734400,31.85,6137900,3530280,20.9,6141280,857920,84.7,2621740,965600,6.1,8853020,879060,169.75,2099440,203600
14:56,84808.63,84800,216.05,385760,-431900,3.85,3611980,-545980,122.1,1279580,-1290760,9.85,5679940,1193220,45.6,3415640,-1734400,34.75,6137900,3530280,11.85,6141280,857920,99.8,2621740,965600,3.65,8853020,879060,189.2,2099440,203600
14:57,84764.65,84800,176.35,371060,-446600,6.35,4130780,-27180,87.6,1242140,-1328200,17.4,7053040,2566320,27.95,4117560,-1032480,56.2,7145160,4537540,6.65,6629780,1346420,136.5,2791240,1135100,2.85,8828560,854600,233.05,2088380,192540
14:58,84744.89,84800,166.25,371060,-446600,6.3,4130780,-27180,79.4,1242140,-1328200,19.7,7053040,2566320,22.05,4117560,-1032480,62.1,7145160,4537540,5.55,6629780,1346420,145.85,2791240,1135100,2.15,8828560,854600,240.55,2088380,192540
14:59,84770.95,84800,169.6,371060,-446600,5.35,4130780,-27180,80.4,1242140,-1328200,15.85,7053040,2566320,21.45,4117560,-1032480,55.45,7145160,4537540,4.55,6629780,1346420,138.8,2791240,1135100,1.8,8828560,854600,236.55,2088380,192540
15:00,84721.98,84800,127.45,519500,-298160,6.25,4545380,387420,46.8,2164120,-406220,23.95,8409360,3922640,11.95,7139460,1989420,90.5,6149840,3542220,4.3,7021300,1737940,182.05,2058620,402480,2.6,7111440,-862520,280.8,1792020,-103820
15:01,84704.26,84800,104.55,519500,-298160,6.0,4545380,387420,30.55,2164120,-406220,31.05,8409360,3922640,6.5,7139460,1989420,107.05,6149840,3542220,2.3,7021300,1737940,202.15,2058620,402480,1.6,7111440,-862520,301.45,1792020,-103820
15:02,84712.98,84800,89.6,519500,-298160,8.0,4545380,387420,22.65,2164120,-406220,42.25,8409360,3922640,4.85,7139460,1989420,123.7,6149840,3542220,1.85,7021300,1737940,222.15,2058620,402480,1.45,7111440,-862520,321.3,1792020,-103820
15:03,84581.13,84800,39.35,883560,65900,21.75,5518520,1360560,8.5,4852080,2281740,91.7,7560520,3073800,3.1,8755800,3605760,184.25,4051100,1443480,1.35,6045380,762020,284.8,1578220,-77920,1.05,5961520,-2012440,386.1,1615400,-280440
15:04,84593.12,84800,42.35,883560,65900,28.15,5518520,1360560,7.15,4852080,2281740,94.25,7560520,3073800,2.15,8755800,3605760,189.15,4051100,1443480,1.1,6045380,762020,287.65,1578220,-77920,0.85,5961520,-2012440,388.55,1615400,-280440
