date,ts,tactic,direction,blocked_by,blocker_detail,hypothetical_strike,hypothetical_entry_premium,hypothetical_exit_premium,hypothetical_pnl,hypothetical_outcome,hypothetical_explanation,sl_pct,tp_pct,time_stop_min,poll_count,regime,spot,vix_level,focus_pcr,state_snapshot_json
2026-05-08,2026-05-08T12:07:50.091269+05:30,ief,CE,choch_present,value=no threshold=yes,77300,782.0,681.6,-2068.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.782 -> Rs.682, P&L Rs.-2,068; SL -30% / TP +50% / time 120m).",0.3,0.5,120,116,RANGE,77404.69,13.5,1.044389236772847,"{""spot"": 77404.69, ""vwap"": 77404.69, ""ema9_5m"": 77419.55305603935, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.044389236772847, ""ce_oi_change"": 1617800.0, ""pe_oi_change"": 1496100.0}"
2026-05-08,2026-05-08T12:07:50.091269+05:30,ief,PE,choch_present,value=no threshold=yes,77500,683.05,770.05,1680.0,WIN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.683 -> Rs.770, P&L Rs.+1,680; SL -30% / TP +50% / time 120m).",0.3,0.5,120,116,RANGE,77404.69,13.5,1.044389236772847,"{""spot"": 77404.69, ""vwap"": 77404.69, ""ema9_5m"": 77419.55305603935, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.044389236772847, ""ce_oi_change"": 1617800.0, ""pe_oi_change"": 1496100.0}"
2026-05-08,2026-05-08T12:14:01.367609+05:30,ief,CE,choch_present,value=no threshold=yes,77200,806.7,731.0,-1574.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.807 -> Rs.731, P&L Rs.-1,574; SL -30% / TP +50% / time 120m).",0.3,0.5,120,114,RANGE,77324.18,13.5,1.1883487082800261,"{""spot"": 77324.18, ""vwap"": 77324.18, ""ema9_5m"": 77406.9684448315, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.1883487082800261, ""ce_oi_change"": 1535460.0, ""pe_oi_change"": 1625920.0}"
2026-05-08,2026-05-08T12:14:01.367609+05:30,ief,PE,choch_present,value=no threshold=yes,77400,666.6,715.0,908.0,WIN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.667 -> Rs.715, P&L Rs.+908; SL -30% / TP +50% / time 120m).",0.3,0.5,120,114,RANGE,77324.18,13.5,1.1883487082800261,"{""spot"": 77324.18, ""vwap"": 77324.18, ""ema9_5m"": 77406.9684448315, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.1883487082800261, ""ce_oi_change"": 1535460.0, ""pe_oi_change"": 1625920.0}"
2026-05-08,2026-05-08T12:19:11.174755+05:30,ief,CE,choch_present,value=no threshold=yes,77200,786.6,726.6,-1260.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.787 -> Rs.727, P&L Rs.-1,260; SL -30% / TP +50% / time 120m).",0.3,0.5,120,112,RANGE,77304.25,13.5,1.1490473763541136,"{""spot"": 77304.25, ""vwap"": 77304.25, ""ema9_5m"": 77394.0947558652, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.1490473763541136, ""ce_oi_change"": 1597720.0, ""pe_oi_change"": 1627420.0}"
2026-05-08,2026-05-08T12:19:11.174755+05:30,ief,PE,choch_present,value=no threshold=yes,77400,685.1,712.65,491.0,WIN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.685 -> Rs.713, P&L Rs.+491; SL -30% / TP +50% / time 120m).",0.3,0.5,120,112,RANGE,77304.25,13.5,1.1490473763541136,"{""spot"": 77304.25, ""vwap"": 77304.25, ""ema9_5m"": 77394.0947558652, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.1490473763541136, ""ce_oi_change"": 1597720.0, ""pe_oi_change"": 1627420.0}"
2026-05-08,2026-05-08T12:37:50.517553+05:30,ief,CE,choch_present,value=no threshold=yes,77200,791.4,800.9,130.0,BREAKEVEN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.791 -> Rs.801, P&L Rs.+130; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,77331.92,13.5,1.0650419060563003,"{""spot"": 77331.92, ""vwap"": 77331.92, ""ema9_5m"": 77364.44662000239, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0650419060563003, ""ce_oi_change"": 1695780.0, ""pe_oi_change"": 1576920.0}"
2026-05-08,2026-05-08T12:37:50.517553+05:30,ief,PE,choch_present,value=no threshold=yes,77400,677.35,638.8,-831.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.677 -> Rs.639, P&L Rs.-831; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,77331.92,13.5,1.0650419060563003,"{""spot"": 77331.92, ""vwap"": 77331.92, ""ema9_5m"": 77364.44662000239, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0650419060563003, ""ce_oi_change"": 1695780.0, ""pe_oi_change"": 1576920.0}"
2026-05-08,2026-05-08T12:42:53.304405+05:30,ief,CE,choch_present,value=no threshold=yes,77200,775.0,837.6,1192.0,WIN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.775 -> Rs.838, P&L Rs.+1,192; SL -30% / TP +50% / time 120m).",0.3,0.5,120,101,RANGE,77310.23,13.5,1.0279508779052065,"{""spot"": 77310.23, ""vwap"": 77310.23, ""ema9_5m"": 77354.87929600192, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0279508779052065, ""ce_oi_change"": 1723940.0, ""pe_oi_change"": 1533820.0}"
2026-05-08,2026-05-08T12:42:53.304405+05:30,ief,PE,choch_present,value=no threshold=yes,77400,685.5,575.65,-2257.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.686 -> Rs.576, P&L Rs.-2,257; SL -30% / TP +50% / time 120m).",0.3,0.5,120,101,RANGE,77310.23,13.5,1.0279508779052065,"{""spot"": 77310.23, ""vwap"": 77310.23, ""ema9_5m"": 77354.87929600192, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0279508779052065, ""ce_oi_change"": 1723940.0, ""pe_oi_change"": 1533820.0}"
