ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
15:13,25725.1,77.35,4612920,-5241600,0.15,21323835,-16246230,27.35,20696000,-15978365,0.15,47876400,13412685,0.15,47358415,5975190,22.85,14254825,4585425
15:14,25724.85,76.85,4247750,-5606770,0.15,20612215,-16957850,26.8,20696000,-15978365,0.2,46355335,11891620,0.15,44049655,2666430,23.6,14254825,4585425
15:15,25724.85,75.65,4247750,-5606770,0.05,20612215,-16957850,25.8,19378905,-17295460,0.1,46355335,11891620,0.15,44049655,2666430,24.55,13723580,4054180
15:16,25727.25,76.25,4247750,-5606770,0.1,20612215,-16957850,26.4,19378905,-17295460,0.1,46355335,11891620,0.15,44049655,2666430,23.95,13723580,4054180
15:17,25726.5,77.05,4247750,-5606770,0.1,20612215,-16957850,27.1,19378905,-17295460,0.05,46355335,11891620,0.1,41173210,-210015,23.1,13723580,4054180
15:18,25718.5,72.55,3864055,-5990465,0.1,18224765,-19345300,22.75,17915430,-18758935,0.1,44239650,9775935,0.05,41173210,-210015,27.5,12324260,2654860
15:19,25720.35,74.7,3864055,-5990465,0.1,18224765,-19345300,24.65,17915430,-18758935,0.1,44239650,9775935,0.1,41173210,-210015,25.65,12324260,2654860
15:20,25728.65,75.85,3450915,-6403605,0.05,18224765,-19345300,25.8,15896595,-20777770,0.05,38867530,4403815,0.05,41173210,-210015,24.25,12324260,2654860
15:21,25730.4,76.5,3450915,-6403605,0.05,16315065,-21255000,26.25,15896595,-20777770,0.05,38867530,4403815,0.1,38973740,-2409485,23.7,9929010,259610
15:22,25728.25,76.25,3450915,-6403605,0.05,16315065,-21255000,26.15,15896595,-20777770,0.1,38867530,4403815,0.05,38973740,-2409485,23.95,9929010,259610
15:23,25726.95,76.15,3450915,-6403605,0.1,16315065,-21255000,26.1,14240915,-22433450,0.05,38867530,4403815,0.05,34985600,-6397625,23.8,8709545,-959855
15:24,25724.55,76.0,3018080,-6836440,0.1,15482480,-22087585,26.0,14240915,-22433450,0.05,35200295,736580,0.05,34985600,-6397625,24.15,8709545,-959855
15:25,25724.65,76.1,3018080,-6836440,0.1,15482480,-22087585,26.25,14240915,-22433450,0.05,35200295,736580,0.05,34985600,-6397625,23.7,8709545,-959855
15:26,25721.45,75.85,3018080,-6836440,0.05,15482480,-22087585,25.75,14240915,-22433450,0.05,35200295,736580,0.05,34985600,-6397625,24.15,8709545,-959855
15:27,25720.7,75.65,2714335,-7140185,0.05,11836435,-25733630,25.65,11078340,-25596025,0.05,32333730,-2129985,0.05,29756285,-11626940,24.45,7250295,-2419105
15:28,25720.85,75.45,2714335,-7140185,0.05,11836435,-25733630,25.55,11078340,-25596025,0.05,32333730,-2129985,0.05,29756285,-11626940,24.2,7250295,-2419105
15:29,25716.0,75.25,2714335,-7140185,0.05,11836435,-25733630,25.4,11078340,-25596025,0.05,32333730,-2129985,0.05,29756285,-11626940,24.6,7250295,-2419105
15:30,,,,,,,,,,,,,,,,,,,
